hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
4B97573B050C,04,-38,0,212,2790,00,0,0,1,0,0,0
2BD0D9147EAD,04,-35,0,110,2870,00,65535,0,1,0,0,0
0C85F243C99F,05,-38,0,213,2840,00,212,30,5,0,1,0
048FB98B7A9D,05,-29,0,213,3560,00,0,0,10,0,1,0
796A607B4F56,05,-32,0,213,3560,14,0,0,16,0,1,0
ACB599A93612,04,-32,0,212,2810,00,0,0,0,0,0,0
1CEE23442F0F,05,-28,0,213,2850,00,0,0,4,0,1,0
E51739DE3DF8,05,-33,0,213,2760,20,212,247,14,0,1,0
E0D9C9889628,05,-16,0,213,2760,03,0,0,436,0,1,0
A6777437ACCA,05,-40,0,213,2860,80,212,82,6,0,1,0
E51739DE3DF8,05,-34,0,213,2760,20,212,247,23,0,1,0
A6777437ACCA,05,-40,0,213,2860,00,212,82,5,0,1,0
26D8D26C2F04,04,-40,0,213,2820,00,0,0,0,0,0,0
E0D9C9889628,05,-40,0,213,2760,01,0,0,45,0,1,0
4B97573B050C,04,-40,0,212,2790,00,0,0,0,0,0,0
26D8D26C2F04,04,-39,0,213,2820,00,0,0,1,0,0,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,17,0,1,0
E51739DE3DF8,05,-32,0,213,2760,20,212,247,18,0,1,0
0C85F243C99F,05,-40,0,213,2840,20,212,30,20,0,1,0
1CEE23442F0F,05,-28,0,213,2850,20,0,0,25,0,1,0
0C85F243C99F,05,-38,0,213,2840,20,212,30,13,0,1,0
0C85F243C99F,05,-38,0,213,2840,20,212,30,20,0,1,0
26D8D26C2F04,04,-40,0,213,2820,00,0,0,1,0,0,0
1CEE23442F0F,05,-27,0,213,2850,20,0,0,27,0,1,0
4B97573B050C,04,-38,0,212,2790,00,0,0,1,0,0,0
E51739DE3DF8,05,-32,0,213,2760,20,212,247,22,0,1,0
