hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
2BD0D9147EAD,04,-31,0,110,2870,00,65535,0,0,0,0,0
4B97573B050C,04,-34,0,212,2800,00,0,0,1,0,0,0
0C85F243C99F,05,-36,0,213,2840,00,212,30,4,0,1,0
796A607B4F56,05,-33,0,213,3560,14,0,0,10,0,1,0
ACB599A93612,04,-36,0,212,2810,00,0,0,0,0,0,0
BF3E94540EA5,04,-30,0,212,2820,00,213,0,0,0,0,0
1CEE23442F0F,05,-39,0,213,2850,00,0,0,20,0,1,0
1CEE23442F0F,05,-40,0,213,2850,00,0,0,3,0,1,0
1CEE23442F0F,05,-40,0,213,2850,00,0,0,0,0,1,0
E0D9C9889628,05,-39,0,213,2850,00,0,0,5,0,1,0
E0D9C9889628,05,-39,0,213,2850,00,0,0,3,0,1,0
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
796A607B4F56,05,-29,0,213,3560,14,0,0,8,0,1,0
2BD0D9147EAD,04,-39,0,110,2870,00,65535,0,0,0,0,0
ACB599A93612,04,-40,0,212,2810,00,0,0,0,0,0,0
BF3E94540EA5,04,-35,0,212,2810,00,213,0,0,0,0,0
4B97573B050C,04,-38,0,212,2810,00,0,0,1,0,0,0
E0D9C9889628,05,-27,0,213,2780,01,0,0,25,0,1,0
1CE8CD510E5E,05,-39,0,213,2900,80,0,0,0,0,1,0
A6777437ACCA,05,-35,0,213,2860,03,212,82,261,0,1,0
2BD0D9147EAD,04,-37,0,110,2870,00,65535,0,1,0,0,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
0C85F243C99F,05,-38,0,213,2840,20,212,30,15,0,1,0
0C85F243C99F,05,-40,0,213,2840,20,212,30,18,0,1,0
1CEE23442F0F,05,-39,0,213,2850,20,0,0,25,0,1,0
A6777437ACCA,05,-38,0,213,2730,02,0,0,115,0,1,0
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
ACB599A93612,04,-39,0,212,2810,00,0,0,0,0,0,0
BF3E94540EA5,04,-32,0,212,2810,00,213,0,0,0,0,0
2BD0D9147EAD,04,-34,0,110,2870,00,65535,0,1,0,0,0
4B97573B050C,04,-39,0,212,2800,00,0,0,0,0,0,0
796A607B4F56,05,-19,0,213,3310,14,0,0,0,0,1,0
796A607B4F56,05,-36,0,213,3330,16,0,0,67,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
796A607B4F56,05,-33,0,213,3330,14,0,0,29,0,1,0
0C85F243C99F,05,-40,0,213,2840,00,212,30,2,0,1,0
048FB98B7A9D,05,-40,0,213,3570,00,0,0,12,0,1,0
048FB98B7A9D,05,-40,0,213,3570,03,0,0,116,0,1,0
B53CC50BFCE8,05,-34,0,213,2580,02,0,0,68,0,1,0
0C85F243C99F,05,-40,0,213,2840,20,212,30,20,0,1,0
1CEE23442F0F,05,-39,0,213,2850,20,0,0,21,0,1,0
796A607B4F56,05,-24,0,214,3290,14,0,0,0,0,1,0
B53CC50BFCE8,05,-34,0,213,2580,00,0,0,4,0,1,0
048FB98B7A9D,05,-39,0,213,3570,03,0,0,244,0,1,0
048FB98B7A9D,05,-40,0,214,3450,02,0,0,149,0,1,0
B53CC50BFCE8,05,-40,0,213,2580,00,0,0,5,0,1,0
B53CC50BFCE8,05,-39,0,214,2370,01,0,0,24,0,1,0
A6777437ACCA,05,-40,0,213,2730,00,0,0,7,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
E0D9C9889628,05,-31,0,213,2780,03,0,0,349,0,1,0
A6777437ACCA,05,-39,0,213,2730,00,0,0,4,0,1,0
E0D9C9889628,05,-16,0,213,2810,00,0,0,0,0,1,0
A6777437ACCA,05,-40,0,213,2730,00,0,0,4,0,1,0
A6777437ACCA,05,-32,0,213,2750,03,0,0,264,0,1,0
0C85F243C99F,05,-40,0,213,2840,00,212,30,7,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
1CE8CD510E5E,05,-40,0,213,2910,80,0,0,0,0,1,0
0C85F243C99F,05,-38,0,213,2830,20,212,30,22,0,1,0
1CEE23442F0F,05,-38,0,213,2850,20,0,0,26,0,1,0
AA649A208A65,05,-40,0,213,2840,01,0,0,71,0,1,0
ACB599A93612,04,-40,0,212,2820,20,0,0,0,0,0,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,15,0,1,0
0C85F243C99F,05,-38,0,213,2840,20,212,30,20,0,1,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,19,0,1,0
1CEE23442F0F,05,-30,0,213,2860,20,0,0,27,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,15,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,17,0,1,0
B53CC50BFCE8,05,-40,0,213,2580,00,0,0,6,0,1,0
2BD0D9147EAD,04,-40,0,110,2870,20,65535,0,0,0,0,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,16,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,24,0,1,0
1CEE23442F0F,05,-29,0,213,2860,20,0,0,20,0,1,0
B53CC50BFCE8,05,-39,0,213,2580,00,0,0,5,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,18,0,1,0
B53CC50BFCE8,05,-40,0,213,2580,00,0,0,9,0,1,0
B53CC50BFCE8,05,-39,0,213,2580,00,0,0,5,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,21,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,19,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,23,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,14,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,21,0,1,0
1CEE23442F0F,05,-30,0,213,2860,20,0,0,21,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,11,0,1,0
1CEE23442F0F,05,-30,0,213,2860,20,0,0,19,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,22,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,26,0,1,0
1CEE23442F0F,05,-30,0,213,2860,20,0,0,18,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,19,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,20,0,1,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,28,0,1,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,14,0,1,0
0C85F243C99F,05,-37,0,213,2840,20,212,30,21,0,1,0
0C85F243C99F,05,-38,0,213,2840,20,212,30,30,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,18,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,13,0,1,0
6C3C243B47B7,04,-35,0,110,2880,00,0,0,25,0,0,0
48B19BB8EA4B,04,-35,0,110,2680,00,65535,0,26,0,0,0
1CEE23442F0F,05,-32,0,213,2870,00,0,0,7,0,1,0
0C85F243C99F,05,-34,0,213,2840,20,212,30,20,0,1,0
1CEE23442F0F,05,-33,0,213,2870,00,0,0,9,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,23,0,1,0
0C85F243C99F,05,-34,0,213,2840,20,212,30,19,0,1,0
1CEE23442F0F,05,-31,0,213,2870,00,0,0,7,0,1,0
0C85F243C99F,05,-33,0,213,2840,20,212,30,18,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,21,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,25,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,25,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,18,0,1,0
0C85F243C99F,05,-35,0,213,2840,20,212,30,23,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,22,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,17,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,20,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,21,0,1,0
2BD0D9147EAD,04,-40,0,110,2870,20,65535,0,1,0,0,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,17,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,17,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,22,0,1,0
B53CC50BFCE8,05,-40,0,213,2580,02,0,0,72,0,1,0
1CEE23442F0F,05,-31,0,213,2870,20,0,0,20,0,1,0
B53CC50BFCE8,05,-40,0,213,2580,00,0,0,5,0,1,0
6C3C243B47B7,04,-38,0,110,2890,00,0,0,14,0,0,0
48B19BB8EA4B,04,-39,0,110,2690,00,65535,0,9,0,0,0
1CEE23442F0F,05,-30,0,213,2870,20,0,0,15,0,1,0
0C85F243C99F,05,-36,0,213,2840,20,212,30,22,0,1,0
hwid,device_type,rssi,rssi_adj,curr_fware,battmv,accel,sent_fware,dfu_idx,extra,dfu_err,recent,cov
0C85F243C99F,05,-33,0,213,2840,20,212,30,15,0,1,0
ACB599A93612,04,-40,0,212,2810,00,0,0,0,0,0,0
48B19BB8EA4B,04,-27,0,110,2690,20,65535,0,1,0,0,0
6C3C243B47B7,04,-29,0,110,2880,20,0,0,0,0,0,0
1CEE23442F0F,05,-30,0,213,2860,00,0,0,3,0,1,0
AA649A208A65,05,-30,0,213,2850,20,0,0,26,0,1,0
AA649A208A65,05,-31,0,213,2850,20,0,0,28,0,1,0
BF3E94540EA5,04,-39,0,212,2810,00,213,0,1,0,0,0
48B19BB8EA4B,04,-38,0,110,2690,80,65535,0,1,0,0,0
48B19BB8EA4B,04,-40,0,110,2690,80,215,181,0,0,0,0
48B19BB8EA4B,05,-38,0,215,2510,00,0,0,3,0,1,0
48B19BB8EA4B,05,-40,0,215,2510,82,213,73,172,0,1,0
AA649A208A65,05,-40,0,213,2850,02,0,0,89,0,1,0
7E2D16679CD8,04,-36,0,110,2830,01,0,0,50,0,0,0
7E2D16679CD8,04,-38,0,110,2830,00,215,16,0,0,0,0
0C85F243C99F,05,-40,0,213,2840,20,212,30,16,0,1,0
1CEE23442F0F,05,-39,0,213,2860,00,0,0,5,0,1,0
1CEE23442F0F,05,-40,0,213,2850,00,0,0,3,0,1,0
7E2D16679CD8,04,-35,0,110,2820,00,215,16,3,0,0,0
1CEE23442F0F,05,-39,0,213,2850,00,0,0,3,0,1,0
0C85F243C99F,05,-37,0,213,2850,20,212,30,19,0,1,0
7E2D16679CD8,04,-40,0,110,2830,00,215,30,1,0,0,0
1CEE23442F0F,05,-38,0,213,2850,20,0,0,21,0,1,0
2BD0D9147EAD,04,-39,0,110,2870,20,65535,0,0,0,0,0
0C85F243C99F,05,-40,0,213,2850,A0,212,30,20,0,1,0
0C85F243C99F,05,-40,0,213,2850,00,212,30,11,0,1,0
7E2D16679CD8,04,-40,0,110,2820,00,215,30,0,0,0,0
1CEE23442F0F,05,-40,0,213,2850,20,0,0,18,0,1,0
0C85F243C99F,05,-40,0,213,2850,00,212,30,8,0,1,0
7E2D16679CD8,04,-40,0,110,2820,00,215,30,1,0,0,0
0C85F243C99F,05,-40,0,213,2850,00,212,30,8,0,1,0
0C85F243C99F,05,-40,0,213,2850,00,212,30,8,0,1,0
7E2D16679CD8,04,-40,0,110,2820,00,215,30,1,0,0,0
1CEE23442F0F,05,-40,0,213,2850,20,0,0,20,0,1,0
2BD0D9147EAD,04,-39,0,110,2870,20,65535,0,0,0,0,0
1CEE23442F0F,05,-40,0,213,2850,A0,0,0,24,0,1,0
0C85F243C99F,05,-40,0,213,2850,00,212,30,10,0,1,0
