459F7A08D5D7
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289089, 'F9632B2DFC58', 2, 30, -80, -82.49999237060547, 1.35824453830719)
  (1502289089, '9A34ECDEA99E', 2, 28, -70, -70.8214340209961, 0.5479636192321777)
  (1502289089, 'DAD655CD510A', 2, 30, -65, -65.56665802001953, 0.504008412361145)
  (1502289089, '5D358CDAED0D', 2, 30, -63, -63.56666564941406, 0.6260619759559631)]]
[[ (1502289149, '9A34ECDEA99E', 2, 29, -71, -71.27587127685547, 0.5275651812553406)
  (1502289149, 'DAD655CD510A', 2, 30, -64, -65.5, 0.6297242045402527)
  (1502289149, '5D358CDAED0D', 2, 30, -63, -63.733333587646484, 0.6396834850311279)
  (1502289149, '6392B6C5FB53', 2, 28, -69, -72.89285278320312, 3.1309597492218018)]]
[[ (1502289209, '9A34ECDEA99E', 2, 30, -69, -70.5666732788086, 0.7738538384437561)
  (1502289209, '5D358CDAED0D', 2, 30, -63, -63.799991607666016, 1.2972091436386108)
  (1502289209, 'DAD655CD510A', 2, 29, -64, -66.44828033447266, 0.869572103023529)
  (1502289209, '6392B6C5FB53', 2, 30, -66, -70.03333282470703, 2.9063920974731445)]]
[[ (1502289269, '9A34ECDEA99E', 2, 30, -70, -70.93331909179688, 0.5832956433296204)
  (1502289269, '5D358CDAED0D', 2, 30, -63, -63.86667251586914, 0.5713484287261963)
  (1502289269, 'DAD655CD510A', 2, 30, -64, -66.19998931884766, 0.8051556348800659)
  (1502289269, '6392B6C5FB53', 2, 30, -67, -69.26667785644531, 1.2298990488052368)]]
[[ (1502289329, '9A34ECDEA99E', 2, 30, -70, -71.26666259765625, 0.6396833658218384)
  (1502289329, '5D358CDAED0D', 2, 30, -62, -62.46666717529297, 0.681444525718689)
  (1502289329, 'DAD655CD510A', 2, 30, -64, -64.96666717529297, 0.7648902535438538)
  (1502289329, '6392B6C5FB53', 2, 30, -66, -68.93333435058594, 2.0833218097686768)]]
[[ (1502289389, '9A34ECDEA99E', 2, 29, -71, -71.72412872314453, 0.4548577070236206)
  (1502289389, '5D358CDAED0D', 2, 30, -61, -62.53333282470703, 0.5713464617729187)
  (1502289389, 'DAD655CD510A', 2, 30, -64, -64.9333267211914, 0.5208298563957214)
  (1502289389, '6392B6C5FB53', 2, 29, -66, -68.75861358642578, 1.7859610319137573)]]
[[ (1502289449, '9A34ECDEA99E', 2, 30, -70, -71.66667175292969, 1.2129597663879395)
  (1502289449, '5D358CDAED0D', 2, 30, -62, -62.29999923706055, 0.466091513633728)
  (1502289449, 'DAD655CD510A', 2, 30, -63, -64.83333587646484, 0.647719144821167)
  (1502289449, '6392B6C5FB53', 2, 30, -66, -67.60000610351562, 1.2757692337036133)]]
[[ (1502289509, '9A34ECDEA99E', 2, 30, -70, -71.19999694824219, 0.5508614182472229)
  (1502289509, '5D358CDAED0D', 2, 29, -62, -62.551727294921875, 0.5061191320419312)
  (1502289509, 'DAD655CD510A', 2, 30, -63, -65.4666748046875, 1.0080124139785767)
  (1502289509, '6392B6C5FB53', 2, 28, -66, -68.28571319580078, 1.7396724224090576)]]
[[ (1502289569, '9A34ECDEA99E', 2, 30, -70, -70.73332214355469, 0.4497765004634857)
  (1502289569, '5D358CDAED0D', 2, 29, -62, -62.551727294921875, 0.5061195492744446)
  (1502289569, 'DAD655CD510A', 2, 29, -64, -65.48274230957031, 0.9110684990882874)
  (1502289569, '6392B6C5FB53', 2, 30, -66, -68.06665802001953, 1.8925141096115112)]]
[[ (1502289629, '9A34ECDEA99E', 2, 30, -69, -71.0666732788086, 0.9802661538124084)
  (1502289629, '5D358CDAED0D', 2, 30, -61, -62.60000228881836, 0.8136759996414185)
  (1502289629, 'DAD655CD510A', 2, 30, -64, -65.50000762939453, 1.0747891664505005)
  (1502289629, '6392B6C5FB53', 2, 30, -66, -70.46668243408203, 2.921189546585083)]]
