5D358CDAED0D
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289119, '94DC6692F976', 3, 29, -49, -49.72414016723633, 0.797161877155304)
  (1502289119, '2D1032CDC2EC', 3, 29, -51, -52.689659118652344, 0.9674500823020935)
  (1502289119, 'F9632B2DFC58', 2, 29, -71, -73.27586364746094, 1.098586916923523)
  (1502289119, '459F7A08D5D7', 2, 29, -62, -63.413795471191406, 0.7327653169631958)]]
[[ (1502289179, '94DC6692F976', 3, 29, -45, -48.482757568359375, 2.1814255714416504)
  (1502289179, '2D1032CDC2EC', 3, 30, -49, -51.83332824707031, 1.858498215675354)
  (1502289179, 'F9632B2DFC58', 2, 27, -70, -73.14815521240234, 1.5860865116119385)
  (1502289179, '459F7A08D5D7', 2, 26, -63, -64.19231414794922, 1.0961476564407349)]]
[[ (1502289239, '94DC6692F976', 3, 29, -42, -45.31034469604492, 0.8063774704933167)
  (1502289239, '2D1032CDC2EC', 3, 29, -48, -48.82758712768555, 0.3844253718852997)
  (1502289239, 'F9632B2DFC58', 2, 29, -70, -71.93103790283203, 1.4863923788070679)
  (1502289239, '459F7A08D5D7', 2, 30, -63, -63.699989318847656, 0.5959640741348267)]]
[[ (1502289299, '94DC6692F976', 3, 29, -45, -45.482757568359375, 0.5085472464561462)
  (1502289299, '2D1032CDC2EC', 3, 30, -47, -48.099998474121094, 0.5477218627929688)
  (1502289299, 'F9632B2DFC58', 2, 30, -69, -72.29999542236328, 1.8032540082931519)
  (1502289299, '459F7A08D5D7', 2, 30, -62, -62.9333381652832, 0.7396803498268127)]]
[[ (1502289359, '94DC6692F976', 3, 28, -45, -48.78571701049805, 2.2337026596069336)
  (1502289359, '2D1032CDC2EC', 3, 29, -47, -50.0, 2.0701987743377686)
  (1502289359, 'F9632B2DFC58', 2, 30, -71, -72.53330993652344, 1.1665778160095215)
  (1502289359, '459F7A08D5D7', 2, 24, -62, -62.66666793823242, 0.5646593570709229)]]
[[ (1502289419, '94DC6692F976', 3, 30, -47, -49.10000228881836, 1.2415235042572021)
  (1502289419, '2D1032CDC2EC', 3, 28, -47, -48.82142639160156, 0.6118322610855103)
  (1502289419, 'F9632B2DFC58', 2, 29, -69, -70.55171966552734, 0.8695708513259888)
  (1502289419, '459F7A08D5D7', 2, 30, -62, -62.40000534057617, 0.49827274680137634)]]
[[ (1502289479, '94DC6692F976', 3, 30, -46, -46.999996185302734, 0.587218701839447)
  (1502289479, '2D1032CDC2EC', 3, 29, -45, -49.13793182373047, 0.9900988340377808)
  (1502289479, 'F9632B2DFC58', 2, 29, -70, -70.55171203613281, 0.5061209201812744)
  (1502289479, '459F7A08D5D7', 2, 30, -62, -62.43333435058594, 0.5040066242218018)]]
[[ (1502289539, '94DC6692F976', 3, 30, -46, -51.10000228881836, 2.4261512756347656)
  (1502289539, '2D1032CDC2EC', 3, 30, -48, -49.56666564941406, 1.006301999092102)
  (1502289539, 'F9632B2DFC58', 2, 29, -69, -70.89656829833984, 0.6732009053230286)
  (1502289539, '459F7A08D5D7', 2, 25, -62, -62.839996337890625, 0.37416502833366394)]]
[[ (1502289599, '94DC6692F976', 3, 30, -47, -49.099998474121094, 1.70900297164917)
  (1502289599, '2D1032CDC2EC', 3, 29, -48, -49.344825744628906, 1.1425501108169556)
  (1502289599, 'F9632B2DFC58', 2, 29, -70, -71.31034088134766, 1.1983153820037842)
  (1502289599, '459F7A08D5D7', 2, 29, -61, -62.37932205200195, 0.6218516826629639)]]
[[ (1502289659, '94DC6692F976', 3, 29, -49, -50.34483337402344, 0.6138787269592285)
  (1502289659, '2D1032CDC2EC', 3, 30, -48, -49.999996185302734, 0.7878385782241821)
  (1502289659, 'F9632B2DFC58', 2, 27, -68, -70.96296691894531, 0.8540169596672058)
  (1502289659, '459F7A08D5D7', 2, 30, -62, -63.099998474121094, 0.9948140382766724)]]
[[ (1502289719, '94DC6692F976', 3, 30, -49, -50.86666488647461, 1.0080143213272095)
  (1502289719, '2D1032CDC2EC', 3, 27, -48, -50.14815139770508, 1.292098879814148)
  (1502289719, 'F9632B2DFC58', 2, 27, -69, -70.48147583007812, 0.893152117729187)
  (1502289719, '459F7A08D5D7', 2, 30, -62, -62.70000076293945, 0.5349834561347961)]]
[[ (1502289779, '94DC6692F976', 3, 29, -50, -51.10345458984375, 0.976319432258606)
  (1502289779, '2D1032CDC2EC', 3, 30, -48, -49.099998474121094, 0.6074262261390686)
  (1502289779, 'F9632B2DFC58', 2, 27, -68, -71.33332824707031, 1.4142144918441772)
  (1502289779, '459F7A08D5D7', 2, 29, -62, -62.620689392089844, 0.49380359053611755)]]
[[ (1502289839, '94DC6692F976', 3, 30, -49, -50.63333511352539, 0.8502873182296753)
  (1502289839, '2D1032CDC2EC', 3, 30, -48, -49.20000076293945, 0.8051558136940002)
  (1502289839, 'F9632B2DFC58', 2, 29, -68, -71.44828033447266, 1.5256425142288208)
  (1502289839, '459F7A08D5D7', 2, 30, -62, -62.56666946411133, 0.5683202147483826)]]
[[ (1502289899, '94DC6692F976', 3, 29, -47, -50.9310302734375, 1.8885183334350586)
  (1502289899, '2D1032CDC2EC', 3, 30, -49, -49.533329010009766, 0.5074158310890198)
  (1502289899, 'F9632B2DFC58', 2, 29, -70, -72.10344696044922, 1.8774014711380005)
  (1502289899, '459F7A08D5D7', 2, 28, -61, -62.07142639160156, 0.7163995504379272)]]
[[ (1502289899, '94DC6692F976', 3, 29, -47, -50.9310302734375, 1.8885183334350586)
