6392B6C5FB53
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289093, '94DC6692F976', 3, 30, -39, -40.5333366394043, 1.195778489112854)
  (1502289093, '2D1032CDC2EC', 3, 29, -35, -36.72414016723633, 0.7971619963645935)
  (1502289093, 'F9632B2DFC58', 2, 30, -70, -72.30000305175781, 1.2905513048171997)
  (1502289093, '459F7A08D5D7', 2, 24, -69, -74.12500762939453, 3.0261549949645996)]]
[[ (1502289153, '94DC6692F976', 3, 30, -37, -40.233333587646484, 1.5687323808670044)
  (1502289153, '2D1032CDC2EC', 3, 30, -36, -37.20000076293945, 1.1264833211898804)
  (1502289153, 'F9632B2DFC58', 2, 30, -68, -71.80000305175781, 1.64840567111969)
  (1502289153, '459F7A08D5D7', 2, 24, -68, -71.33334350585938, 1.7110053300857544)]]
[[ (1502289213, '2D1032CDC2EC', 3, 30, -37, -38.266666412353516, 0.8276824355125427)
  (1502289213, 'F9632B2DFC58', 2, 26, -70, -72.26923370361328, 1.6627137660980225)
  (1502289213, '459F7A08D5D7', 2, 26, -65, -69.6538314819336, 2.07735276222229)
  (1502289213, '9A34ECDEA99E', 2, 30, -61, -65.0999984741211, 2.139125347137451)]]
[[ (1502289273, '94DC6692F976', 3, 30, -42, -42.56666946411133, 0.5040057301521301)
  (1502289273, '2D1032CDC2EC', 3, 30, -38, -38.69999313354492, 0.6512581706047058)
  (1502289273, 'F9632B2DFC58', 2, 28, -69, -71.14285278320312, 1.3801316022872925)
  (1502289273, '459F7A08D5D7', 2, 28, -66, -69.10713958740234, 1.499117374420166)]]
[[ (1502289333, '94DC6692F976', 3, 30, -40, -42.86666488647461, 1.0416606664657593)
  (1502289333, '2D1032CDC2EC', 3, 30, -34, -37.9666633605957, 1.1885472536087036)
  (1502289333, 'F9632B2DFC58', 2, 30, -69, -71.4666748046875, 0.8995532393455505)
  (1502289333, '459F7A08D5D7', 2, 27, -67, -68.81482696533203, 1.7982254028320312)]]
[[ (1502289393, '94DC6692F976', 3, 30, -39, -42.56666946411133, 1.4307783842086792)
  (1502289393, '2D1032CDC2EC', 3, 30, -35, -37.33333206176758, 1.5829553604125977)
  (1502289393, 'F9632B2DFC58', 2, 26, -70, -71.73076629638672, 1.1509219408035278)
  (1502289393, '459F7A08D5D7', 2, 26, -65, -68.03845977783203, 1.399449110031128)]]
[[ (1502289453, '94DC6692F976', 3, 30, -39, -43.66666793823242, 2.6305012702941895)
  (1502289453, '2D1032CDC2EC', 3, 30, -35, -37.13333511352539, 1.0416605472564697)
  (1502289453, 'F9632B2DFC58', 2, 29, -70, -71.79309844970703, 0.9775810837745667)
  (1502289453, '459F7A08D5D7', 2, 30, -65, -67.39999389648438, 1.4994266033172607)]]
[[ (1502289513, '94DC6692F976', 3, 29, -42, -44.7241325378418, 1.3064792156219482)
  (1502289513, '2D1032CDC2EC', 3, 30, -35, -37.23332977294922, 1.2507469654083252)
  (1502289513, 'F9632B2DFC58', 2, 26, -69, -70.69230651855469, 0.9281905293464661)
  (1502289513, '459F7A08D5D7', 2, 30, -66, -67.83333587646484, 1.2617264986038208)]]
[[ (1502289573, '94DC6692F976', 3, 30, -40, -42.29999923706055, 1.207732915878296)
  (1502289573, '2D1032CDC2EC', 3, 30, -36, -36.20000076293945, 0.4068380296230316)
  (1502289573, '459F7A08D5D7', 2, 20, -65, -67.9000015258789, 1.9166858196258545)
  (1502289573, '9A34ECDEA99E', 2, 29, -61, -62.620689392089844, 0.7752324938774109)]]
[[ (1502289633, '94DC6692F976', 3, 30, -38, -41.30000305175781, 2.842411994934082)
  (1502289633, '2D1032CDC2EC', 3, 30, -35, -36.79999923706055, 1.0635024309158325)
  (1502289633, 'F9632B2DFC58', 2, 28, -67, -69.92857360839844, 1.5136067867279053)
  (1502289633, '459F7A08D5D7', 2, 28, -67, -70.35714721679688, 2.7109413146972656)]]
[[ (1502289693, '94DC6692F976', 3, 30, -42, -44.29999923706055, 1.3169984817504883)
  (1502289693, '2D1032CDC2EC', 3, 29, -35, -36.0, 0.755928635597229)
  (1502289693, 'F9632B2DFC58', 2, 26, -69, -71.34615325927734, 1.0561175346374512)
  (1502289693, '459F7A08D5D7', 2, 30, -66, -67.83332824707031, 1.5554823875427246)]]
[[ (1502289753, '94DC6692F976', 3, 30, -43, -44.73332977294922, 1.0148324966430664)
  (1502289753, '2D1032CDC2EC', 3, 30, -36, -36.43333053588867, 0.5040066242218018)
  (1502289753, 'F9632B2DFC58', 2, 26, -69, -71.03846740722656, 1.2159193754196167)
  (1502289753, '459F7A08D5D7', 2, 27, -66, -67.51851654052734, 1.1221672296524048)]]
[[(1502289813, '2D1032CDC2EC', 3, 30, -36, -37.0, 0.3713904023170471)
  (1502289813, 'F9632B2DFC58', 2, 29, -68, -72.37931823730469, 2.858741283416748)
  (1502289813, '459F7A08D5D7', 2, 30, -64, -66.56666564941406, 1.4307780265808105)
  (1502289813, '9A34ECDEA99E', 2, 27, -63, -66.2962875366211, 2.958883047103882)]]
[[ (1502289873, '94DC6692F976', 3, 30, -41, -44.96666717529297, 1.4735208749771118)
  (1502289873, '2D1032CDC2EC', 3, 30, -36, -36.833335876464844, 0.5306680798530579)
  (1502289873, 'F9632B2DFC58', 2, 21, -74, -77.33333587646484, 2.105548858642578)
  (1502289873, '459F7A08D5D7', 2, 26, -62, -64.8846206665039, 1.306198000907898)]]
[[ (1502289933, '94DC6692F976', 3, 30, -40, -43.46665954589844, 1.5916439294815063)
  (1502289933, '2D1032CDC2EC', 3, 30, -36, -37.06666946411133, 0.4497765004634857)
  (1502289933, 'F9632B2DFC58', 2, 18, -70, -75.5, 2.854304790496826)
  (1502289933, '459F7A08D5D7', 2, 29, -65, -66.79309844970703, 1.2922658920288086)]]
[[ (1502289993, '94DC6692F976', 3, 30, -44, -46.266666412353516, 1.412587285041809)
  (1502289993, '2D1032CDC2EC', 3, 30, -38, -39.30000686645508, 0.9878575205802917)
  (1502289993, 'F9632B2DFC58', 2, 25, -67, -70.91999816894531, 2.9427897930145264)
  (1502289993, '459F7A08D5D7', 2, 29, -64, -67.03448486328125, 2.026304244995117)]]
[[ (1502290053, '94DC6692F976', 3, 30, -41, -44.70000457763672, 2.1358983516693115)
  (1502290053, '2D1032CDC2EC', 3, 30, -37, -38.266666412353516, 1.0482608079910278)
  (1502290053, 'F9632B2DFC58', 2, 28, -69, -73.25001525878906, 2.238130807876587)
  (1502290053, '459F7A08D5D7', 2, 27, -64, -66.48148345947266, 1.98785400390625)]]
[[ (1502290113, '94DC6692F976', 3, 30, -42, -45.93333053588867, 1.552158236503601)
  (1502290113, '2D1032CDC2EC', 3, 30, -37, -38.266666412353516, 0.6396833062171936)
  (1502290113, '459F7A08D5D7', 2, 30, -65, -66.83332824707031, 0.8742798566818237)
  (1502290113, '9A34ECDEA99E', 2, 24, -66, -67.24999237060547, 0.793998658657074)]]
[[ (1502290173, '94DC6692F976', 3, 27, -43, -48.14815139770508, 2.6268386840820312)
  (1502290173, '2D1032CDC2EC', 3, 30, -38, -38.5, 0.5085468888282776)
  (1502290173, 'F9632B2DFC58', 2, 26, -69, -75.23075866699219, 2.732140064239502)
  (1502290173, '459F7A08D5D7', 2, 29, -65, -67.82756805419922, 1.4655380249023438)]]
[[ (1502290233, '94DC6692F976', 3, 30, -38, -41.36666488647461, 1.5196031332015991)
  (1502290233, '2D1032CDC2EC', 3, 30, -35, -36.03333282470703, 1.2452195882797241)
  (1502290233, 'F9632B2DFC58', 2, 27, -69, -70.99999237060547, 1.2089403867721558)
  (1502290233, '459F7A08D5D7', 2, 28, -66, -68.71428680419922, 1.0837913751602173)]]
[[ (1502290293, '94DC6692F976', 3, 30, -39, -40.29999923706055, 0.7022125720977783)
  (1502290293, '2D1032CDC2EC', 3, 29, -35, -35.344825744628906, 0.48372581601142883)
  (1502290293, '459F7A08D5D7', 2, 29, -66, -68.17240905761719, 1.4655287265777588)
  (1502290293, '9A34ECDEA99E', 2, 29, -61, -63.37930679321289, 1.399332880973816)]]
[[ (1502290353, '94DC6692F976', 3, 30, -39, -39.89999771118164, 0.8448629975318909)
  (1502290353, '2D1032CDC2EC', 3, 30, -35, -36.0, 0.6432675123214722)
  (1502290353, 'F9632B2DFC58', 2, 28, -70, -70.6785888671875, 0.6118313074111938)
  (1502290353, '9A34ECDEA99E', 2, 30, -61, -65.86666107177734, 1.525266408920288)]]
[[ (1502290413, '2D1032CDC2EC', 3, 30, -35, -36.499996185302734, 2.161576271057129)
  (1502290413, 'F9632B2DFC58', 2, 24, -69, -71.41667175292969, 1.0179544687271118)
  (1502290413, '459F7A08D5D7', 2, 28, -67, -69.0, 1.6101531982421875)
  (1502290413, '9A34ECDEA99E', 2, 29, -64, -67.62069702148438, 1.8207863569259644)]]
[[ (1502290473, '94DC6692F976', 3, 30, -40, -41.499996185302734, 0.6822879910469055)
  (1502290473, '2D1032CDC2EC', 3, 30, -35, -36.06666564941406, 0.520831286907196)
  (1502290473, 'F9632B2DFC58', 2, 26, -68, -69.34616088867188, 1.0175385475158691)
  (1502290473, '459F7A08D5D7', 2, 30, -65, -68.73333740234375, 2.0160272121429443)]]
[[ (1502290533, '94DC6692F976', 3, 30, -39, -40.96666717529297, 1.1290318965911865)
  (1502290533, '2D1032CDC2EC', 3, 30, -35, -35.43333053588867, 0.6789104342460632)
  (1502290533, 'F9632B2DFC58', 2, 28, -68, -69.82142639160156, 1.8064422607421875)
  (1502290533, '459F7A08D5D7', 2, 28, -67, -69.32144165039062, 2.510033369064331)]]
[[ (1502290593, '94DC6692F976', 3, 30, -39, -40.13333511352539, 0.9371022582054138)
  (1502290593, '2D1032CDC2EC', 3, 30, -35, -36.566673278808594, 1.0063015222549438)
  (1502290593, 'F9632B2DFC58', 2, 25, -68, -73.07999420166016, 2.396526575088501)
  (1502290593, '459F7A08D5D7', 2, 28, -66, -68.24999237060547, 2.428610324859619)]]
[[ (1502290653, '94DC6692F976', 3, 30, -37, -39.89999771118164, 1.5613876581192017)
  (1502290653, '2D1032CDC2EC', 3, 30, -36, -37.36666488647461, 0.8087179064750671)
  (1502290653, '459F7A08D5D7', 2, 30, -64, -65.23332977294922, 0.9714316129684448)
  (1502290653, 'F9632B2DFC58', 2, 22, -73, -74.95455169677734, 1.4953042268753052)]]
[[ (1502290713, '94DC6692F976', 3, 30, -38, -40.83332824707031, 1.2887681722640991)
  (1502290713, '2D1032CDC2EC', 3, 30, -35, -36.39999771118164, 0.9321833252906799)
  (1502290713, '459F7A08D5D7', 2, 28, -65, -66.8214340209961, 1.1880131959915161)
  (1502290713, 'F9632B2DFC58', 2, 20, -71, -73.25, 1.2513154745101929)]]
[[ (1502290773, '94DC6692F976', 3, 30, -40, -41.0333251953125, 0.5560551881790161)
  (1502290773, '2D1032CDC2EC', 3, 30, -36, -36.0, 0.0)
  (1502290773, '459F7A08D5D7', 2, 26, -66, -66.69230651855469, 0.7358896136283875)
  (1502290773, 'F9632B2DFC58', 2, 21, -67, -74.00000762939453, 2.4899821281433105)]]
[[ (1502290833, '94DC6692F976', 3, 30, -41, -41.79999542236328, 0.4842345714569092)
  (1502290833, '2D1032CDC2EC', 3, 30, -36, -36.133338928222656, 0.34574490785598755)
  (1502290833, '459F7A08D5D7', 2, 30, -63, -67.16667175292969, 1.1768839359283447)
  (1502290833, 'F9632B2DFC58', 2, 27, -69, -70.7407455444336, 0.8129995465278625)]]
[[ (1502290893, '459F7A08D5D7', 2, 28, -66, -67.21428680419922, 0.7867975831031799)
  (1502290893, '9A34ECDEA99E', 2, 28, -65, -66.85714721679688, 0.8034321069717407)
  (1502290893, '94DC6692F976', 3, 30, -41, -42.36666488647461, 0.7183962464332581)
  (1502290893, '2D1032CDC2EC', 3, 28, -36, -36.96428298950195, 0.6929346919059753)]]
[[ (1502290953, '2D1032CDC2EC', 3, 30, -37, -37.366668701171875, 0.49013227224349976)
  (1502290953, '459F7A08D5D7', 2, 29, -66, -67.44828796386719, 0.9481615424156189)
  (1502290953, '9A34ECDEA99E', 2, 28, -64, -67.60713958740234, 1.7070516347885132)
  (1502290953, '94DC6692F976', 3, 30, -42, -43.0333366394043, 0.3198421001434326)]]
[[ (1502291013, '2D1032CDC2EC', 3, 30, -36, -36.9666633605957, 0.18257439136505127)
  (1502291013, '459F7A08D5D7', 2, 28, -66, -67.50000762939453, 1.2018500566482544)
  (1502291013, '9A34ECDEA99E', 2, 27, -64, -66.11111450195312, 0.8006400465965271)
  (1502291013, '94DC6692F976', 3, 29, -41, -43.17241668701172, 0.9284765124320984)]]
[[ (1502291073, '94DC6692F976', 3, 30, -40, -41.83333206176758, 1.0531831979751587)
  (1502291073, '2D1032CDC2EC', 3, 30, -36, -36.366668701171875, 0.49013233184814453)
  (1502291073, '459F7A08D5D7', 2, 27, -66, -66.92591094970703, 0.5495403409004211)
  (1502291073, '9A34ECDEA99E', 2, 28, -64, -66.5, 2.081665515899658)]]
[[ (1502291133, '94DC6692F976', 3, 30, -40, -42.366668701171875, 0.8899179697036743)
  (1502291133, '2D1032CDC2EC', 3, 30, -36, -36.900001525878906, 0.6617631912231445)
  (1502291133, '459F7A08D5D7', 2, 29, -66, -68.4482650756836, 1.5488739013671875)
  (1502291133, '9A34ECDEA99E', 2, 29, -64, -66.79309844970703, 2.210031747817993)]]
[[ (1502291193, '94DC6692F976', 3, 30, -39, -40.19999694824219, 0.8469009399414062)
  (1502291193, '2D1032CDC2EC', 3, 30, -36, -37.0666618347168, 0.6396832466125488)
  (1502291193, '459F7A08D5D7', 2, 29, -64, -67.20690155029297, 1.4486256837844849)
  (1502291193, '9A34ECDEA99E', 2, 29, -62, -66.96550750732422, 3.3539135456085205)]]
[[ (1502291253, '94DC6692F976', 3, 30, -38, -40.499996185302734, 1.3833985328674316)
  (1502291253, '2D1032CDC2EC', 3, 30, -35, -37.26667022705078, 0.6396839618682861)
  (1502291253, '459F7A08D5D7', 2, 29, -66, -68.68965148925781, 1.8536360263824463)
  (1502291253, '9A34ECDEA99E', 2, 28, -63, -66.03572082519531, 1.8354957103729248)]]
[[ (1502291313, '94DC6692F976', 3, 30, -38, -39.69999694824219, 0.8769058585166931)
  (1502291313, '2D1032CDC2EC', 3, 30, -35, -35.9333381652832, 0.44977644085884094)
  (1502291313, '459F7A08D5D7', 2, 30, -67, -67.93333435058594, 0.944433331489563)
  (1502291313, '9A34ECDEA99E', 2, 30, -65, -68.80001068115234, 3.2313122749328613)]]
[[ (1502291373, '94DC6692F976', 3, 30, -39, -41.36666488647461, 1.188546895980835)
  (1502291373, '2D1032CDC2EC', 3, 30, -36, -36.53333282470703, 0.5074166059494019)
  (1502291373, '459F7A08D5D7', 2, 28, -66, -67.57144165039062, 1.0690468549728394)
  (1502291373, '9A34ECDEA99E', 2, 29, -64, -67.44827270507812, 1.804481029510498)]]
[[ (1502291433, '94DC6692F976', 3, 30, -40, -41.63333511352539, 0.8899181485176086)
  (1502291433, '2D1032CDC2EC', 3, 30, -36, -36.766658782958984, 0.62606281042099)
  (1502291433, '459F7A08D5D7', 2, 28, -66, -67.28572082519531, 0.9371792674064636)
  (1502291433, '9A34ECDEA99E', 2, 27, -67, -68.18518829345703, 1.2101199626922607)]]
[[ (1502291493, '94DC6692F976', 3, 30, -38, -41.033329010009766, 1.6914260387420654)
  (1502291493, '2D1032CDC2EC', 3, 29, -36, -37.06896209716797, 0.7526628375053406)
  (1502291493, '459F7A08D5D7', 2, 27, -64, -68.8148193359375, 2.542517900466919)
  (1502291493, '9A34ECDEA99E', 2, 26, -65, -68.69230651855469, 2.1497762203216553)]]
[[ (1502291553, '94DC6692F976', 3, 30, -40, -42.033329010009766, 1.586218237876892)
  (1502291553, '2D1032CDC2EC', 3, 30, -36, -36.73333740234375, 0.44977718591690063)
  (1502291553, '459F7A08D5D7', 2, 26, -66, -67.34615325927734, 1.0933361053466797)
  (1502291553, '9A34ECDEA99E', 2, 30, -64, -65.86666107177734, 1.6553597450256348)]]
[[ (1502291613, '94DC6692F976', 3, 29, -41, -44.68965530395508, 2.172938823699951)
  (1502291613, '2D1032CDC2EC', 3, 30, -35, -36.70000076293945, 0.5959634780883789)
  (1502291613, '459F7A08D5D7', 2, 27, -66, -67.2592544555664, 0.9026705026626587)
