9A34ECDEA99E
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289075, '459F7A08D5D7', 2, 28, -70, -70.96428680419922, 0.5762031674385071)
  (1502289075, 'DAD655CD510A', 2, 29, -62, -64.89656066894531, 1.11306631565094)
  (1502289075, '5D358CDAED0D', 2, 30, -57, -58.333335876464844, 0.8840866684913635)
  (1502289075, '6392B6C5FB53', 2, 30, -62, -65.0, 1.9999998807907104)]]
[[ (1502289135, '459F7A08D5D7', 2, 27, -71, -71.40740966796875, 0.5007118582725525)
  (1502289135, 'DAD655CD510A', 2, 30, -64, -65.36666870117188, 0.8502883315086365)
  (1502289135, '5D358CDAED0D', 2, 30, -57, -58.76666259765625, 0.6260618567466736)
  (1502289135, '6392B6C5FB53', 2, 29, -64, -65.93103790283203, 1.0667388439178467)]]
[[ (1502289195, '459F7A08D5D7', 2, 27, -69, -70.85184478759766, 0.9488310217857361)
  (1502289195, '5D358CDAED0D', 2, 30, -57, -58.60000228881836, 0.8550060391426086)
  (1502289195, 'DAD655CD510A', 2, 28, -64, -65.21427917480469, 0.7867955565452576)
  (1502289195, '6392B6C5FB53', 2, 29, -62, -66.31034851074219, 1.6058701276779175)]]
[[ (1502289255, '459F7A08D5D7', 2, 29, -70, -70.93102264404297, 0.5934785604476929)
  (1502289255, '5D358CDAED0D', 2, 30, -57, -58.06666564941406, 0.8276818990707397)
  (1502289255, 'DAD655CD510A', 2, 30, -63, -64.03333282470703, 0.8087183237075806)
  (1502289255, '6392B6C5FB53', 2, 30, -61, -62.5333366394043, 1.2242777347564697)]]
[[ (1502289315, '459F7A08D5D7', 2, 30, -70, -71.60000610351562, 0.6746642589569092)
  (1502289315, '5D358CDAED0D', 2, 30, -57, -57.533329010009766, 0.776078999042511)
  (1502289315, 'DAD655CD510A', 2, 30, -64, -64.9333267211914, 0.5832927227020264)
  (1502289315, '6392B6C5FB53', 2, 30, -62, -63.23332977294922, 1.4781944751739502)]]
[[ (1502289375, '459F7A08D5D7', 2, 25, -71, -72.08000183105469, 0.4932895004749298)
  (1502289375, '5D358CDAED0D', 2, 30, -57, -57.499996185302734, 0.572351336479187)
  (1502289375, 'DAD655CD510A', 2, 30, -64, -65.4000015258789, 1.0372382402420044)
  (1502289375, '6392B6C5FB53', 2, 29, -63, -65.03449249267578, 0.823005735874176)]]
[[ (1502289435, '459F7A08D5D7', 2, 30, -70, -72.19998931884766, 1.3235255479812622)
  (1502289435, '5D358CDAED0D', 2, 30, -57, -57.766666412353516, 0.5040071606636047)
  (1502289435, 'DAD655CD510A', 2, 29, -64, -65.27587890625, 0.7971639633178711)
  (1502289435, '6392B6C5FB53', 2, 30, -63, -64.86666870117188, 1.136642336845398)]]
[[ (1502289495, '459F7A08D5D7', 2, 30, -70, -71.10000610351562, 0.5477206110954285)
  (1502289495, '5D358CDAED0D', 2, 30, -57, -57.86666488647461, 0.43417254090309143)
  (1502289495, 'DAD655CD510A', 2, 27, -64, -65.0740737915039, 0.6155636310577393)
  (1502289495, '6392B6C5FB53', 2, 27, -63, -65.44445037841797, 1.0127408504486084)]]
[[ (1502289555, '459F7A08D5D7', 2, 26, -70, -71.23076629638672, 0.7103614807128906)
  (1502289555, '5D358CDAED0D', 2, 30, -58, -58.633331298828125, 0.4901326894760132)
  (1502289555, 'DAD655CD510A', 2, 30, -65, -66.60000610351562, 0.5632422566413879)
  (1502289555, '6392B6C5FB53', 2, 30, -62, -62.89999771118164, 0.5477222204208374)]]
[[ (1502289615, '459F7A08D5D7', 2, 28, -71, -71.49999237060547, 0.7934914827346802)
  (1502289615, '5D358CDAED0D', 2, 30, -58, -59.0, 1.0504521131515503)
