DAD655CD510A
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289083, '94DC6692F976', 3, 29, -62, -66.37930297851562, 3.9498097896575928)
  (1502289083, '2D1032CDC2EC', 3, 28, -56, -60.82142639160156, 2.32623553276062)
  (1502289083, 'F9632B2DFC58', 2, 29, -72, -73.68965911865234, 1.1983134746551514)
  (1502289083, '459F7A08D5D7', 2, 29, -64, -65.55171203613281, 0.783135175704956)]]
[[ (1502289143, '2D1032CDC2EC', 3, 30, -56, -60.59999465942383, 2.190889835357666)
  (1502289143, 'F9632B2DFC58', 2, 30, -71, -72.63333892822266, 1.272614598274231)
  (1502289143, '459F7A08D5D7', 2, 28, -65, -65.67855072021484, 0.6118345856666565)
  (1502289143, '5D358CDAED0D', 2, 30, -55, -57.06666946411133, 1.014831781387329)]]
[[ (1502289203, '94DC6692F976', 3, 29, -56, -62.96552276611328, 1.8609267473220825)
  (1502289203, '2D1032CDC2EC', 3, 30, -52, -56.16666793823242, 3.1082022190093994)
  (1502289203, 'F9632B2DFC58', 2, 28, -69, -71.1071548461914, 0.8751394748687744)
  (1502289203, '9A34ECDEA99E', 2, 30, -63, -64.93333435058594, 0.7849146127700806)]]
[[ (1502289263, '2D1032CDC2EC', 3, 29, -54, -54.8620719909668, 0.35093265771865845)
  (1502289263, 'F9632B2DFC58', 2, 30, -71, -73.0, 1.0827809572219849)
  (1502289263, '459F7A08D5D7', 2, 29, -64, -66.20690155029297, 0.773644208908081)
  (1502289263, '9A34ECDEA99E', 2, 30, -63, -64.0333251953125, 0.8087170720100403)]]
[[ (1502289323, '94DC6692F976', 3, 29, -58, -64.34484100341797, 2.2721285820007324)
  (1502289323, '2D1032CDC2EC', 3, 30, -53, -53.89999771118164, 1.470398187637329)
  (1502289323, 'F9632B2DFC58', 2, 30, -70, -71.0666732788086, 0.7849162220954895)
  (1502289323, '459F7A08D5D7', 2, 29, -63, -64.7931137084961, 0.8185093402862549)]]
[[ (1502289383, '94DC6692F976', 3, 29, -59, -65.86205291748047, 4.634685039520264)
  (1502289383, '2D1032CDC2EC', 3, 29, -55, -57.9310302734375, 1.7098667621612549)
  (1502289383, 'F9632B2DFC58', 2, 28, -70, -70.67855834960938, 0.5479657053947449)
  (1502289383, '459F7A08D5D7', 2, 28, -64, -64.71428680419922, 0.46004584431648254)]]
[[ (1502289443, '94DC6692F976', 3, 29, -59, -63.82758712768555, 4.045005798339844)
  (1502289443, '2D1032CDC2EC', 3, 28, -55, -57.21428298950195, 1.3153533935546875)
  (1502289443, 'F9632B2DFC58', 2, 30, -70, -71.03331756591797, 0.7184005379676819)
  (1502289443, '459F7A08D5D7', 2, 30, -64, -64.8666763305664, 0.730297327041626)]]
[[ (1502289503, '94DC6692F976', 3, 30, -58, -63.099998474121094, 3.2626407146453857)
  (1502289503, '2D1032CDC2EC', 3, 30, -56, -57.56666564941406, 1.2780182361602783)
  (1502289503, 'F9632B2DFC58', 2, 28, -70, -71.21429443359375, 0.6299405694007874)
  (1502289503, '459F7A08D5D7', 2, 30, -64, -65.13333892822266, 1.1058871746063232)]]
[[ (1502289563, '94DC6692F976', 3, 30, -60, -65.63333892822266, 2.9182307720184326)
  (1502289563, '2D1032CDC2EC', 3, 29, -55, -57.551719665527344, 1.2701572179794312)
  (1502289563, 'F9632B2DFC58', 2, 28, -70, -71.57142639160156, 1.3991708755493164)
  (1502289563, '459F7A08D5D7', 2, 26, -64, -65.4615478515625, 0.859340250492096)]]
[[ (1502289623, '94DC6692F976', 3, 29, -61, -65.27586364746094, 2.5056583881378174)
  (1502289623, '2D1032CDC2EC', 3, 30, -55, -56.733333587646484, 1.3373501300811768)
  (1502289623, 'F9632B2DFC58', 2, 29, -68, -69.65515899658203, 0.8139768838882446)
  (1502289623, '459F7A08D5D7', 2, 29, -64, -65.03447723388672, 0.9813535809516907)]]
[[ (1502289683, '94DC6692F976', 3, 27, -63, -65.96296691894531, 2.66719913482666)
  (1502289683, '2D1032CDC2EC', 3, 29, -55, -56.655174255371094, 0.8567322492599487)
  (1502289683, 'F9632B2DFC58', 2, 27, -70, -70.51852416992188, 0.8024178743362427)
  (1502289683, '459F7A08D5D7', 2, 30, -64, -65.89999389648438, 0.8847362399101257)]]
[[ (1502289743, '94DC6692F976', 3, 30, -62, -65.09999084472656, 2.856929063796997)
  (1502289743, 'F9632B2DFC58', 2, 28, -70, -71.4285659790039, 1.2301347255706787)
  (1502289743, '459F7A08D5D7', 2, 29, -64, -65.862060546875, 0.5157596468925476)
  (1502289743, '9A34ECDEA99E', 2, 29, -63, -64.03449249267578, 1.1174839735031128)]]
[[(1502289803, '94DC6692F976', 3, 27, -62, -64.0, 2.0381014347076416)
  (1502289803, '2D1032CDC2EC', 3, 30, -55, -56.133331298828125, 0.8995537757873535)
  (1502289803, 'F9632B2DFC58', 2, 24, -69, -76.33334350585938, 7.136348724365234)
  (1502289803, '459F7A08D5D7', 2, 30, -65, -65.83332824707031, 1.3152509927749634)]]
[[ (1502289863, '94DC6692F976', 3, 29, -60, -63.13792419433594, 1.746916651725769)
  (1502289863, '2D1032CDC2EC', 3, 30, -55, -57.0, 0.787838339805603)
  (1502289863, 'F9632B2DFC58', 2, 14, -81, -83.92858123779297, 3.245457410812378)
  (1502289863, '459F7A08D5D7', 2, 28, -64, -65.6785659790039, 0.9833249449729919)]]
[[ (1502289923, '94DC6692F976', 3, 28, -59, -62.17857360839844, 2.6112797260284424)
  (1502289923, '2D1032CDC2EC', 3, 30, -55, -57.70000076293945, 1.1492127180099487)
  (1502289923, 'F9632B2DFC58', 2, 23, -77, -81.17391204833984, 2.8548545837402344)
  (1502289923, '459F7A08D5D7', 2, 28, -63, -66.03571319580078, 1.574852705001831)]]
[[ (1502289983, '94DC6692F976', 3, 29, -55, -57.17240905761719, 1.3381454944610596)
  (1502289983, '2D1032CDC2EC', 3, 29, -55, -56.82758331298828, 1.2555302381515503)
  (1502289983, '459F7A08D5D7', 2, 30, -63, -65.26667785644531, 1.910647988319397)
  (1502289983, '9A34ECDEA99E', 2, 29, -63, -64.13792419433594, 0.7893993854522705)]]
[[ (1502290043, '94DC6692F976', 3, 29, -55, -60.10344696044922, 3.658109664916992)
  (1502290043, '2D1032CDC2EC', 3, 30, -56, -58.733333587646484, 1.5959712266921997)
  (1502290043, 'F9632B2DFC58', 2, 23, -79, -82.04347229003906, 2.687991142272949)
  (1502290043, '459F7A08D5D7', 2, 29, -63, -65.24137878417969, 2.4150593280792236)]]
[[ (1502290103, '94DC6692F976', 3, 30, -55, -59.89999771118164, 3.7540767192840576)
  (1502290103, '459F7A08D5D7', 2, 29, -64, -65.62068939208984, 1.0827810764312744)
  (1502290103, '9A34ECDEA99E', 2, 26, -64, -64.30769348144531, 0.6793661713600159)
  (1502290103, '5D358CDAED0D', 2, 30, -58, -59.60000228881836, 1.5222479104995728)]]
[[ (1502290163, '94DC6692F976', 3, 27, -59, -61.88888931274414, 1.5770792961120605)
  (1502290163, '2D1032CDC2EC', 3, 29, -55, -56.10345458984375, 1.2913140058517456)
  (1502290163, '459F7A08D5D7', 2, 30, -65, -65.89998626708984, 0.959526538848877)
  (1502290163, '5D358CDAED0D', 2, 28, -58, -62.249996185302734, 1.9555243253707886)]]
[[ (1502290223, '94DC6692F976', 3, 27, -61, -62.62963104248047, 1.0432261228561401)
  (1502290223, '2D1032CDC2EC', 3, 28, -56, -58.17856979370117, 1.1239337921142578)
  (1502290223, 'F9632B2DFC58', 2, 15, -78, -82.66666412353516, 3.33095121383667)
  (1502290223, '459F7A08D5D7', 2, 28, -66, -66.92857360839844, 1.4383267164230347)]]
[[ (1502290283, '94DC6692F976', 3, 29, -62, -63.413795471191406, 1.2397348880767822)
  (1502290283, '2D1032CDC2EC', 3, 29, -57, -58.31034469604492, 0.7608009576797485)
  (1502290283, 'F9632B2DFC58', 2, 19, -79, -84.15790557861328, 3.4361326694488525)
  (1502290283, '459F7A08D5D7', 2, 30, -63, -66.00000762939453, 1.1447055339813232)]]
[[ (1502290343, '94DC6692F976', 3, 29, -61, -62.448280334472656, 0.7831365466117859)
  (1502290343, '2D1032CDC2EC', 3, 30, -58, -59.566673278808594, 0.6789098978042603)
  (1502290343, 'F9632B2DFC58', 2, 23, -80, -83.9565200805664, 2.2254366874694824)
  (1502290343, '459F7A08D5D7', 2, 29, -63, -64.13792419433594, 0.8334168791770935)]]
[[ (1502290343, '94DC6692F976', 3, 29, -61, -62.448280334472656, 0.7831365466117859)
  (1502290343, '2D1032CDC2EC', 3, 30, -58, -59.566673278808594, 0.6789098978042603)
  (1502290343, 'F9632B2DFC58', 2, 23, -80, -83.9565200805664, 2.2254366874694824)
  (1502290343, '459F7A08D5D7', 2, 29, -63, -64.13792419433594, 0.8334168791770935)]]
[[ (1502290403, '94DC6692F976', 3, 29, -59, -61.0689697265625, 1.412469506263733)
  (1502290403, '2D1032CDC2EC', 3, 30, -60, -61.23333740234375, 0.9352609515190125)
  (1502290403, '459F7A08D5D7', 2, 30, -63, -64.26666259765625, 0.980265200138092)
  (1502290403, '9A34ECDEA99E', 2, 30, -63, -64.30001068115234, 0.7022114992141724)]]
[[ (1502290463, '94DC6692F976', 3, 30, -56, -57.966670989990234, 0.9994249939918518)
  (1502290463, '2D1032CDC2EC', 3, 30, -57, -60.733333587646484, 1.2298959493637085)
  (1502290463, 'F9632B2DFC58', 2, 25, -78, -79.72000122070312, 2.2642157077789307)
  (1502290463, '459F7A08D5D7', 2, 30, -64, -65.03334045410156, 1.1290297508239746)]]
[[ (1502290523, '94DC6692F976', 3, 30, -57, -59.80000305175781, 1.3746463060379028)
  (1502290523, '2D1032CDC2EC', 3, 30, -56, -59.53333282470703, 1.6131635904312134)
  (1502290523, '459F7A08D5D7', 2, 30, -63, -64.93333435058594, 0.8276823163032532)
  (1502290523, '9A34ECDEA99E', 2, 29, -63, -64.34483337402344, 0.9364015460014343)]]
[[ (1502290583, '94DC6692F976', 3, 29, -59, -63.48275375366211, 2.627068042755127)
  (1502290583, '2D1032CDC2EC', 3, 30, -56, -59.99999237060547, 2.716489553451538)
