F9632B2DFC58
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502289106, '94DC6692F976', 3, 29, -71, -75.10344696044922, 3.618847370147705)
  (1502289106, '2D1032CDC2EC', 3, 28, -71, -76.14286041259766, 2.013181209564209)
  (1502289106, '459F7A08D5D7', 2, 29, -81, -82.9310302734375, 1.4863921403884888)
  (1502289106, '9A34ECDEA99E', 2, 30, -63, -64.10000610351562, 0.48066088557243347)]]
[[ (1502289106, '94DC6692F976', 3, 29, -71, -75.10344696044922, 3.618847370147705)
  (1502289106, '2D1032CDC2EC', 3, 28, -71, -76.14286041259766, 2.013181209564209)
  (1502289106, '459F7A08D5D7', 2, 29, -81, -82.9310302734375, 1.4863921403884888)
  (1502289106, '9A34ECDEA99E', 2, 30, -63, -64.10000610351562, 0.48066088557243347)]]
[[ (1502289166, '94DC6692F976', 3, 28, -71, -76.60713958740234, 4.425008296966553)
  (1502289166, '2D1032CDC2EC', 3, 30, -71, -76.13333129882812, 3.1484339237213135)
  (1502289166, '459F7A08D5D7', 2, 24, -82, -83.95832824707031, 0.9990941286087036)
  (1502289166, '9A34ECDEA99E', 2, 29, -63, -64.31034851074219, 0.760798990726471)]]
[[ (1502289166, '94DC6692F976', 3, 28, -71, -76.60713958740234, 4.425008296966553)
  (1502289166, '2D1032CDC2EC', 3, 30, -71, -76.13333129882812, 3.1484339237213135)
  (1502289166, '459F7A08D5D7', 2, 24, -82, -83.95832824707031, 0.9990941286087036)
  (1502289166, '9A34ECDEA99E', 2, 29, -63, -64.31034851074219, 0.760798990726471)]]
[[ (1502289226, '94DC6692F976', 3, 29, -72, -75.55171966552734, 4.093429088592529)
  (1502289226, '2D1032CDC2EC', 3, 28, -69, -72.28571319580078, 1.4364858865737915)
  (1502289226, '459F7A08D5D7', 2, 30, -80, -82.09999084472656, 1.1249536275863647)
  (1502289226, '9A34ECDEA99E', 2, 29, -63, -63.89655303955078, 0.6178781986236572)]]
[[ (1502289226, '94DC6692F976', 3, 29, -72, -75.55171966552734, 4.093429088592529)
  (1502289226, '2D1032CDC2EC', 3, 28, -69, -72.28571319580078, 1.4364858865737915)
  (1502289226, '459F7A08D5D7', 2, 30, -80, -82.09999084472656, 1.1249536275863647)
  (1502289226, '9A34ECDEA99E', 2, 29, -63, -63.89655303955078, 0.6178781986236572)]]
[[ (1502289286, '94DC6692F976', 3, 29, -72, -75.68965148925781, 2.3161466121673584)
  (1502289286, '2D1032CDC2EC', 3, 30, -72, -74.50000762939453, 1.4081025123596191)
  (1502289286, '459F7A08D5D7', 2, 28, -78, -80.42857360839844, 1.4511467218399048)
  (1502289286, '9A34ECDEA99E', 2, 30, -63, -63.33333206176758, 0.4794613718986511)]]
[[ (1502289286, '94DC6692F976', 3, 29, -72, -75.68965148925781, 2.3161466121673584)
  (1502289286, '2D1032CDC2EC', 3, 30, -72, -74.50000762939453, 1.4081025123596191)
  (1502289286, '459F7A08D5D7', 2, 28, -78, -80.42857360839844, 1.4511467218399048)
  (1502289286, '9A34ECDEA99E', 2, 30, -63, -63.33333206176758, 0.4794613718986511)]]
[[ (1502289346, '94DC6692F976', 3, 28, -71, -74.92857360839844, 2.3082549571990967)
  (1502289346, '2D1032CDC2EC', 3, 29, -70, -74.31034851074219, 2.687317371368408)
  (1502289346, '459F7A08D5D7', 2, 26, -78, -80.15383911132812, 0.8805586099624634)
  (1502289346, '9A34ECDEA99E', 2, 30, -63, -63.633331298828125, 0.8087170720100403)]]
[[ (1502289346, '94DC6692F976', 3, 28, -71, -74.92857360839844, 2.3082549571990967)
  (1502289346, '2D1032CDC2EC', 3, 29, -70, -74.31034851074219, 2.687317371368408)
  (1502289346, '459F7A08D5D7', 2, 26, -78, -80.15383911132812, 0.8805586099624634)
  (1502289346, '9A34ECDEA99E', 2, 30, -63, -63.633331298828125, 0.8087170720100403)]]
[[ (1502289406, '94DC6692F976', 3, 25, -74, -79.96000671386719, 4.077174186706543)
  (1502289406, '2D1032CDC2EC', 3, 28, -70, -74.5, 2.219442129135132)
  (1502289406, '459F7A08D5D7', 2, 29, -79, -80.06896209716797, 0.7036141753196716)
  (1502289406, '9A34ECDEA99E', 2, 29, -65, -65.72412872314453, 0.5914020538330078)]]
[[ (1502289406, '94DC6692F976', 3, 25, -74, -79.96000671386719, 4.077174186706543)
  (1502289406, '2D1032CDC2EC', 3, 28, -70, -74.5, 2.219442129135132)
  (1502289406, '459F7A08D5D7', 2, 29, -79, -80.06896209716797, 0.7036141753196716)
  (1502289406, '9A34ECDEA99E', 2, 29, -65, -65.72412872314453, 0.5914020538330078)]]
[[ (1502289466, '94DC6692F976', 3, 30, -74, -76.43333435058594, 2.9558050632476807)
  (1502289466, '2D1032CDC2EC', 3, 28, -69, -70.53570556640625, 1.1700621843338013)
  (1502289466, '459F7A08D5D7', 2, 30, -78, -80.40000915527344, 1.404427409172058)
  (1502289466, '9A34ECDEA99E', 2, 29, -65, -65.96550750732422, 0.49876731634140015)]]
