5D358CDAED0D,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202028, 'F9632B2DFC58',2,29,-75,-77.72413635,2.136361599
1502202028, '9A34ECDEA99E',2,27,-66,-66.74073029,0.655894578
1502202028, 'DAD655CD510A',2,28,-54,-54.71428299,0.460043252
1502202028, '2D1032CDC2EC',3,30,-47,-47.56666565,0.504006624
,,,,,,
1502202088, 'F9632B2DFC58',2,26,-78,-80.88461304,1.751043439
1502202088, '9A34ECDEA99E',2,29,-65,-66.93102264,0.923159301
1502202088, 'DAD655CD510A',2,29,-55,-55.03448486,0.185695484
1502202088, '2D1032CDC2EC',3,30,-46,-47,0.587221146
,,,,,,
1502202148, '9A34ECDEA99E',2,30,-65,-66.90000916,1.061882496
1502202148, 'DAD655CD510A',2,30,-54,-55.1333313,0.507416785
1502202148, '2D1032CDC2EC',3,29,-47,-48.65517426,1.316810131
1502202148, '459F7A08D5D7',2,28,-68,-69.53570557,1.346660256
,,,,,,
1502202208, 'F9632B2DFC58',2,29,-73,-80.37931061,2.956998825
1502202208, '9A34ECDEA99E',2,30,-65,-67.66667938,1.768167019
1502202208, '2D1032CDC2EC',3,30,-44,-46.39999771,0.674664617
1502202208, '459F7A08D5D7',2,28,-67,-69.92857361,1.358881593
,,,,,,
1502202268, 'DAD655CD510A',2,30,-54,-55.33332825,0.606477797
1502202268, '2D1032CDC2EC',3,30,-46,-46.36667252,0.764888823
1502202268, '459F7A08D5D7',2,29,-69,-72,1.511853933
1502202268, '94DC6692F976',3,30,-44,-44.56667328,0.897631645
,,,,,,
1502202328, 'F9632B2DFC58',2,25,-68,-82.3999939,4.890465736
1502202328, '9A34ECDEA99E',2,29,-65,-67.10345459,0.939028859
1502202328, 'DAD655CD510A',2,27,-54,-55.07407761,0.474416286
1502202328, '2D1032CDC2EC',3,29,-46,-48.89655685,1.012238026
,,,,,,
1502202388, 'F9632B2DFC58',2,29,-67,-80.44827271,3.531351328
1502202388, '9A34ECDEA99E',2,26,-66,-66.73077393,0.666795135
1502202388, 'DAD655CD510A',2,30,-54,-55.09999847,0.480660349
1502202388, '2D1032CDC2EC',3,29,-48,-49.58621216,0.568032742
,,,,,,
1502202448, 'F9632B2DFC58',2,28,-78,-82.10714722,2.166056156
1502202448, '9A34ECDEA99E',2,28,-66,-66.50000763,0.638287246
1502202448, 'DAD655CD510A',2,29,-53,-54,0.755928934
1502202448, '2D1032CDC2EC',3,30,-43,-46.39999771,1.302518129
,,,,,,
1502202508, 'F9632B2DFC58',2,25,-79,-82.3999939,2.614063263
1502202508, '9A34ECDEA99E',2,28,-63,-66.64286041,0.911421001
1502202508, 'DAD655CD510A',2,29,-54,-54.9310379,0.752663374
1502202508, '2D1032CDC2EC',3,29,-45,-46.55172729,0.631675363
,,,,,,
1502202568, 'F9632B2DFC58',2,20,-81,-84.40000153,2.798492908
1502202568, '9A34ECDEA99E',2,27,-65,-65.74074554,0.594370961
1502202568, 'DAD655CD510A',2,30,-55,-55.53333282,0.507416308
1502202568, '2D1032CDC2EC',3,30,-47,-47.3666687,0.490132421
,,,,,,
1502202628, '9A34ECDEA99E',2,30,-65,-66.5,0.682285607
1502202628, 'DAD655CD510A',2,28,-55,-55.71428299,0.460042119
1502202628, '2D1032CDC2EC',3,30,-47,-47.2333374,0.430183202
1502202628, '459F7A08D5D7',2,30,-68,-69.1000061,0.607425034
,,,,,,
1502202688, '9A34ECDEA99E',2,30,-66,-68.96666718,1.650145054
1502202688, 'DAD655CD510A',2,30,-54,-55.56667328,0.77385509
1502202688, '2D1032CDC2EC',3,30,-46,-46.60000229,0.62145865
1502202688, '459F7A08D5D7',2,28,-66,-67.92858124,1.152411222
,,,,,,
1502202748, 'F9632B2DFC58',2,29,-70,-72.24139404,1.122980952
1502202748, '9A34ECDEA99E',2,27,-68,-70.81481171,1.359779239
1502202748, 'DAD655CD510A',2,30,-54,-54.83333206,0.379049689
1502202748, '2D1032CDC2EC',3,30,-45,-46.1333313,0.434172571
,,,,,,
1502202808, 'F9632B2DFC58',2,29,-71,-72.44828796,1.241725445
1502202808, '9A34ECDEA99E',2,29,-67,-69.20689392,1.081643105
1502202808, 'DAD655CD510A',2,29,-54,-55.55172729,0.631675959
1502202808, '2D1032CDC2EC',3,30,-45,-46.10000229,0.711966455
,,,,,,
1502202868, 'F9632B2DFC58',2,27,-70,-72.51850891,1.672641277
1502202868, '9A34ECDEA99E',2,29,-65,-66.89655304,1.496300697
1502202868, 'DAD655CD510A',2,29,-55,-55.62069321,0.676851153
1502202868, '2D1032CDC2EC',3,30,-46,-46.73333359,0.449776769
,,,,,,
1502202928, 'F9632B2DFC58',2,29,-74,-76.13793945,1.57489562
1502202928, '9A34ECDEA99E',2,29,-66,-66.72413635,0.751026154
1502202928, 'DAD655CD510A',2,30,-55,-55.86666489,0.776079357
1502202928, '2D1032CDC2EC',3,30,-45,-46.43333054,0.678910792
,,,,,,
1502202988, 'F9632B2DFC58',2,30,-71,-77.0333252,3.378260851
1502202988, '9A34ECDEA99E',2,28,-66,-66.5357132,0.999338686
1502202988, 'DAD655CD510A',2,29,-54,-55.06896591,1.066737652
1502202988, '2D1032CDC2EC',3,29,-46,-46.3103447,0.470823199
,,,,,,
1502203048, 'F9632B2DFC58',2,26,-75,-79.11540222,2.178569078
1502203048, '9A34ECDEA99E',2,29,-65,-66.31034088,1.038662314
1502203048, 'DAD655CD510A',2,30,-53,-54.26666641,0.52083087
1502203048, '2D1032CDC2EC',3,30,-45,-46.59999466,0.621455014
,,,,,,
1502203108, 'F9632B2DFC58',2,26,-70,-77.57691956,2.610334635
1502203108, 'DAD655CD510A',2,30,-54,-54.66666794,0.546672046
1502203108, '2D1032CDC2EC',3,29,-45,-46.48275757,0.57449913
1502203108, '459F7A08D5D7',2,30,-67,-68.46665955,0.681443155
,,,,,,
1502203168, '9A34ECDEA99E',2,29,-65,-66.0689621,0.457557231
1502203168, 'DAD655CD510A',2,30,-55,-56.10000229,0.711967885
