9A34ECDEA99E,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202020, '459F7A08D5D7',2,29,-70,-71.20690155,0.559291661
1502202020, '94DC6692F976',3,29,-65,-69.0689621,2.491858959
1502202020, '6392B6C5FB53',2,28,-62,-63.25,0.799305677
1502202020, '5D358CDAED0D',2,29,-66,-66.93103027,0.752664626
,,,,,,
1502202080, '459F7A08D5D7',2,29,-71,-71.72413635,1.098587513
1502202080, '94DC6692F976',3,28,-65,-69.10714722,2.884686708
1502202080, '6392B6C5FB53',2,30,-62,-63.20000076,0.484234512
1502202080, '5D358CDAED0D',2,30,-63,-66.8999939,0.994814098
,,,,,,
1502202140, '459F7A08D5D7',2,30,-70,-71.09999084,0.711966813
1502202140, '94DC6692F976',3,29,-64,-66.9310379,1.251600504
1502202140, '6392B6C5FB53',2,29,-63,-65.13792419,1.059788465
1502202140, '5D358CDAED0D',2,29,-66,-67.44828033,1.020724058
,,,,,,
1502202200, '459F7A08D5D7',2,30,-70,-71.93332672,1.284747958
1502202200, '94DC6692F976',3,28,-66,-68.2857132,1.462042212
1502202200, '6392B6C5FB53',2,30,-63,-64.63332367,0.718394578
1502202200, '5D358CDAED0D',2,29,-65,-67.34483337,2.004919767
,,,,,,
1502202260, '459F7A08D5D7',2,28,-69,-71.0357132,1.104942799
1502202260, '94DC6692F976',3,30,-65,-68.7666626,2.269488573
1502202260, '6392B6C5FB53',2,29,-61,-63.20689774,1.206513882
1502202260, '5D358CDAED0D',2,29,-65,-67.89655304,1.291312218
,,,,,,
1502202320, '459F7A08D5D7',2,30,-70,-70.8666687,0.730295718
1502202320, '94DC6692F976',3,29,-65,-71.06897736,2.617672205
1502202320, '6392B6C5FB53',2,30,-62,-62.73333359,0.784915805
1502202320, '5D358CDAED0D',2,29,-66,-67.44828796,0.736120164
,,,,,,
1502202320, '459F7A08D5D7',2,30,-70,-70.8666687,0.730295718
1502202320, '94DC6692F976',3,29,-65,-71.06897736,2.617672205
1502202320, '6392B6C5FB53',2,30,-62,-62.73333359,0.784915805
1502202320, '5D358CDAED0D',2,29,-66,-67.44828796,0.736120164
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202380, '94DC6692F976',3,30,-65,-66.80000305,1.297210336
1502202380, '6392B6C5FB53',2,30,-62,-63.19999695,0.92475605
1502202380, '5D358CDAED0D',2,28,-66,-67.10715485,0.566946447
1502202380, 'F9632B2DFC58',2,30,-67,-68.19998932,0.550861418
,,,,,,
1502202440, '94DC6692F976',3,30,-62,-65.0333252,1.473518968
1502202440, '6392B6C5FB53',2,30,-62,-63.46667099,0.860364974
1502202440, 'F9632B2DFC58',2,29,-70,-72.27586365,1.161789417
1502202440, 'DAD655CD510A',2,29,-63,-64.13793945,0.990098655
,,,,,,
1502202440, '94DC6692F976',3,30,-62,-65.0333252,1.473518968
1502202440, '6392B6C5FB53',2,30,-62,-63.46667099,0.860364974
1502202440, 'F9632B2DFC58',2,29,-70,-72.27586365,1.161789417
1502202440, 'DAD655CD510A',2,29,-63,-64.13793945,0.990098655
,,,,,,
1502202500, '94DC6692F976',3,29,-65,-65.62068176,0.727705777
1502202500, '6392B6C5FB53',2,30,-63,-63.6333313,0.668675005
1502202500, 'F9632B2DFC58',2,27,-69,-71.22221375,0.847320497
1502202500, '5D358CDAED0D',2,27,-66,-66.777771,0.697986186
,,,,,,
1502202560, '94DC6692F976',3,29,-64,-66.34483337,1.009802103
1502202560, '6392B6C5FB53',2,30,-61,-62.66666412,0.606478393
1502202560, 'F9632B2DFC58',2,28,-71,-71.57144165,0.835713029
1502202560, '5D358CDAED0D',2,29,-65,-65.96550751,0.778402507
,,,,,,
1502202560, '94DC6692F976',3,29,-64,-66.34483337,1.009802103
1502202560, '6392B6C5FB53',2,30,-61,-62.66666412,0.606478393
1502202560, 'F9632B2DFC58',2,28,-71,-71.57144165,0.835713029
1502202560, '5D358CDAED0D',2,29,-65,-65.96550751,0.778402507
,,,,,,
1502202620, '94DC6692F976',3,28,-65,-66.32143402,0.818923414
1502202620, '6392B6C5FB53',2,30,-63,-63.63333511,0.76489073
1502202620, '5D358CDAED0D',2,27,-64,-66.40740204,0.747263074
1502202620, 'DAD655CD510A',2,28,-63,-64.03572083,0.692936301
,,,,,,
1502202680, '94DC6692F976',3,25,-65,-67.3999939,2.020724773
