DAD655CD510A,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202023, '2D1032CDC2EC',3,30,-65,-68.56665802,2.990597725
1502202023, '459F7A08D5D7',2,27,-66,-77.777771,3.320486069
1502202023, '94DC6692F976',3,29,-61,-63.34482574,1.446075201
1502202023, '6392B6C5FB53',2,28,-56,-56.92857361,0.604218602
,,,,,,
1502202083, '2D1032CDC2EC',3,29,-66,-69.51724243,3.561906815
1502202083, '459F7A08D5D7',2,24,-73,-75.41667175,2.483278751
1502202083, '94DC6692F976',3,28,-62,-64.14286041,2.863748074
1502202083, '6392B6C5FB53',2,30,-56,-56.93333817,0.639684439
,,,,,,
1502202143, '2D1032CDC2EC',3,29,-63,-67.51724243,5.082327366
1502202143, '459F7A08D5D7',2,25,-70,-73.44000244,3.056141138
1502202143, '94DC6692F976',3,30,-59,-61.7666626,1.675035357
1502202143, '6392B6C5FB53',2,30,-55,-55.59999466,0.894426048
,,,,,,
1502202203, '2D1032CDC2EC',3,30,-61,-63.83333969,1.984131575
1502202203, '459F7A08D5D7',2,26,-69,-74.30769348,3.641641617
1502202203, '94DC6692F976',3,29,-59,-62.37931442,2.194370747
1502202203, '6392B6C5FB53',2,30,-54,-54.70000076,0.466091126
,,,,,,
1502202263, '2D1032CDC2EC',3,29,-60,-62.9310379,2.136937618
1502202263, '94DC6692F976',3,30,-56,-63.19999695,2.683281422
1502202263, '6392B6C5FB53',2,29,-54,-55.72414017,0.882227659
1502202263, '5D358CDAED0D',2,30,-55,-55.46666718,0.507415712
,,,,,,
1502202323, '2D1032CDC2EC',3,29,-58,-62,3.327375174
1502202323, '459F7A08D5D7',2,28,-65,-72.71429443,3.29822731
1502202323, '94DC6692F976',3,29,-58,-64.72413635,3.228185177
1502202323, '6392B6C5FB53',2,30,-53,-54.73333359,0.827682018
,,,,,,
1502202383, '2D1032CDC2EC',3,29,-59,-61,0.654653549
1502202383, '459F7A08D5D7',2,30,-64,-70.16667175,3.006699324
1502202383, '94DC6692F976',3,29,-64,-69.24137115,2.836691618
1502202383, '6392B6C5FB53',2,30,-54,-54.96666718,0.556053042
,,,,,,
1502202443, '2D1032CDC2EC',3,30,-59,-64.20000458,2.60503459
1502202443, '94DC6692F976',3,29,-58,-64.79310608,4.212052345
1502202443, '6392B6C5FB53',2,30,-52,-55.26667404,0.980262697
1502202443, '5D358CDAED0D',2,30,-53,-54.2333374,0.678911507
,,,,,,
1502202503, '2D1032CDC2EC',3,28,-60,-62.2142868,1.066569328
1502202503, '459F7A08D5D7',2,27,-71,-77.18518829,3.431044817
1502202503, '94DC6692F976',3,29,-62,-65.44826508,1.681539059
1502202503, '6392B6C5FB53',2,30,-53,-54.73332977,0.520830452
,,,,,,
1502202563, '2D1032CDC2EC',3,30,-62,-63.59999847,1.248446822
1502202563, '459F7A08D5D7',2,29,-66,-74,2.866056442
1502202563, '94DC6692F976',3,29,-62,-63.75861359,1.550462604
1502202563, '6392B6C5FB53',2,30,-54,-55.3666687,0.556054115
,,,,,,
1502202623, '2D1032CDC2EC',3,30,-61,-63,1.313064456
1502202623, '459F7A08D5D7',2,29,-65,-73.72413635,2.505658627
1502202623, '94DC6692F976',3,28,-63,-65.24999237,1.43048811
1502202623, '6392B6C5FB53',2,30,-54,-54.63333511,0.668676555
,,,,,,
1502202683, '2D1032CDC2EC',3,30,-59,-62.8666687,1.195777655
1502202683, '459F7A08D5D7',2,28,-70,-73.39285278,1.7070508
1502202683, '94DC6692F976',3,25,-57,-61.75999832,1.588500023
1502202683, '6392B6C5FB53',2,28,-53,-54.67856979,0.722832382
,,,,,,
1502202743, '2D1032CDC2EC',3,28,-60,-63.0357132,2.185510159
1502202743, '459F7A08D5D7',2,25,-72,-75.87998962,1.855622649
1502202743, '94DC6692F976',3,29,-60,-62.34482574,3.415049314
1502202743, '6392B6C5FB53',2,30,-54,-54.86666107,0.434173346
,,,,,,
1502202803, '2D1032CDC2EC',3,29,-59,-61.34482956,1.203442693
1502202803, '459F7A08D5D7',2,30,-72,-73.86668396,1.613165736
1502202803, '94DC6692F976',3,30,-60,-66.1333313,3.390995979
1502202803, '6392B6C5FB53',2,30,-54,-54.79999924,0.71438396
,,,,,,
1502202863, '2D1032CDC2EC',3,29,-62,-64.72413635,1.666830182
1502202863, '459F7A08D5D7',2,26,-65,-75.11538696,5.006611824
1502202863, '94DC6692F976',3,29,-60,-65.44828033,3.030630827
1502202863, '6392B6C5FB53',2,30,-54,-55.40000534,0.563241541
,,,,,,
1502202923, '2D1032CDC2EC',3,28,-62,-64.82143402,2.22866106
1502202923, '459F7A08D5D7',2,26,-66,-76.57691956,5.262494564
1502202923, '94DC6692F976',3,29,-61,-63.75862122,1.88329494
1502202923, '6392B6C5FB53',2,28,-55,-56.14286423,1.177388668
,,,,,,
1502202983, '2D1032CDC2EC',3,30,-62,-63.93332672,1.720728636
1502202983, '94DC6692F976',3,29,-62,-63.65517426,1.142548442
1502202983, '6392B6C5FB53',2,30,-55,-56.66667175,1.061335921
1502202983, 'F9632B2DFC58',2,28,-70,-74.85715485,1.603571057
,,,,,,
1502203043, '2D1032CDC2EC',3,30,-61,-63.16666412,1.599209905
1502203043, '459F7A08D5D7',2,27,-67,-77.40740967,4.500076294
1502203043, '94DC6692F976',3,28,-61,-63.2142868,1.853069186
1502203043, '6392B6C5FB53',2,29,-54,-54.72414017,0.527565777
,,,,,,
1502203103, '2D1032CDC2EC',3,29,-63,-65.44827271,2.131168604
1502203103, '459F7A08D5D7',2,22,-73,-79.31817627,2.697201252
1502203103, '94DC6692F976',3,28,-61,-63.7142868,1.301200271
1502203103, '6392B6C5FB53',2,29,-54,-54.62068939,0.561489999
,,,,,,
1502203163, '2D1032CDC2EC',3,28,-63,-65.92857361,2.226583719
1502203163, '459F7A08D5D7',2,24,-76,-79.37499237,1.860632181
1502203163, '94DC6692F976',3,30,-62,-65.2666626,2.420223713
1502203163, '6392B6C5FB53',2,30,-53,-53.26666641,0.449776143
,,,,,,
1502203223, 'F9632B2DFC58',2,20,-78,-80.5,1.960129023
1502203223, '2D1032CDC2EC',3,29,-61,-64.75862122,2.3399508
1502203223, '459F7A08D5D7',2,28,-70,-76.35713959,2.312834978
1502203223, '94DC6692F976',3,27,-62,-66,3.902660131
,,,,,,
1502203283, '2D1032CDC2EC',3,25,-63,-66.40000153,2.291288376
1502203283, '459F7A08D5D7',2,29,-67,-70.48275757,3.135291815
1502203283, '94DC6692F976',3,27,-65,-67.44444275,1.450021982
1502203283, '6392B6C5FB53',2,30,-52,-52.90000153,0.402578533
,,,,,,
1502203343, 'F9632B2DFC58',2,28,-76,-81.25,2.605193853
1502203343, '2D1032CDC2EC',3,30,-61,-65.29998779,2.135905266
1502203343, '459F7A08D5D7',2,27,-67,-70.96296692,4.318841457
1502203343, '94DC6692F976',3,26,-64,-71.7692337,5.01444006
,,,,,,
1502203403, 'F9632B2DFC58',2,26,-77,-82.03845978,3.682181597
1502203403, '2D1032CDC2EC',3,30,-61,-66.16666412,3.312289
1502203403, '459F7A08D5D7',2,29,-64,-71.79309845,4.312600613
1502203403, '94DC6692F976',3,28,-63,-67.46427917,2.516346216
,,,,,,
1502203463, '2D1032CDC2EC',3,30,-63,-63.93333817,1.048260212
1502203463, '459F7A08D5D7',2,27,-70,-72.66667175,1.270977855
1502203463, '94DC6692F976',3,27,-66,-70.48149109,3.154611111
1502203463, '6392B6C5FB53',2,29,-54,-54.41379547,0.501228571
,,,,,,
1502203523, '9A34ECDEA99E',2,28,-63,-64.39285278,1.423069596
1502203523, '2D1032CDC2EC',3,29,-62,-63.7586174,1.455413461
1502203523, '459F7A08D5D7',2,28,-68,-72.99999237,1.845919013
1502203523, '94DC6692F976',3,26,-66,-71.03846741,3.974727392
,,,,,,
1502203583, '9A34ECDEA99E',2,30,-63,-63.43333054,1.135124087
1502203583, '2D1032CDC2EC',3,25,-62,-64.04000092,1.059873581
1502203583, '459F7A08D5D7',2,25,-66,-74.63999939,2.928025484
1502203583, '94DC6692F976',3,28,-62,-68.07141876,5.113003731
,,,,,,
1502203643, '9A34ECDEA99E',2,30,-62,-63.86666107,1.357820034
1502203643, '2D1032CDC2EC',3,30,-62,-65.16666412,2.150916576
1502203643, '459F7A08D5D7',2,25,-74,-77.31999207,3.184860468
