459F7A08D5D7,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202048, 'F9632B2DFC58',2,27,-75,-79.29629517,1.771892548
1502202048, '9A34ECDEA99E',2,28,-71,-71.35713959,0.731021285
1502202048, 'DAD655CD510A',2,26,-71,-77.92307281,2.48069334
1502202048, '2D1032CDC2EC',3,30,-64,-66.5,1.737018108
,,,,,,
1502202108, '9A34ECDEA99E',2,29,-69,-71.20689392,0.977577984
1502202108, '2D1032CDC2EC',3,26,-64,-66.07692719,1.494605422
1502202108, '94DC6692F976',3,27,-65,-68.81482697,2.434319973
1502202108, '6392B6C5FB53',2,29,-68,-70.10346222,1.44777751
,,,,,,
1502202168, '9A34ECDEA99E',2,30,-69,-71.40000153,1.328725338
1502202168, 'DAD655CD510A',2,26,-65,-73,3.162278175
1502202168, '2D1032CDC2EC',3,30,-65,-66.59999847,1.162635803
1502202168, '94DC6692F976',3,27,-69,-74.11110687,3.500915766
,,,,,,
1502202228, '9A34ECDEA99E',2,28,-70,-71.21429443,0.738225341
1502202228, 'DAD655CD510A',2,26,-64,-73.69230652,4.164315224
1502202228, '2D1032CDC2EC',3,30,-64,-65.3666687,0.889918089
1502202228, '94DC6692F976',3,30,-66,-70.23332977,3.616848469
,,,,,,
1502202348, 'F9632B2DFC58',2,29,-73,-79,1.963961601
1502202348, '9A34ECDEA99E',2,30,-70,-70.69999695,0.534981012
1502202348, 'DAD655CD510A',2,26,-71,-73.61537933,2.041115284
1502202348, '2D1032CDC2EC',3,28,-64,-65.64285278,0.558719516
,,,,,,
1502202408, 'F9632B2DFC58',2,27,-74,-79.4074173,2.223293543
1502202408, '9A34ECDEA99E',2,27,-70,-70.51852417,0.70002073
1502202408, 'DAD655CD510A',2,30,-64,-69.43334198,3.223654747
1502202408, '2D1032CDC2EC',3,29,-64,-66.24137878,1.78595984
,,,,,,
1502202468, 'F9632B2DFC58',2,27,-77,-78.62961578,0.838873625
1502202468, '9A34ECDEA99E',2,30,-69,-70.46665955,0.681445181
1502202468, 'DAD655CD510A',2,28,-70,-74.03570557,3.036597967
1502202468, '2D1032CDC2EC',3,30,-63,-64.6333313,0.96430707
,,,,,,
1502202528, 'F9632B2DFC58',2,30,-78,-79.13333893,0.899553776
1502202528, '5D358CDAED0D',2,30,-68,-68.8666687,0.628810704
1502202528, '9A34ECDEA99E',2,30,-70,-70.90000916,1.446753979
1502202528, 'DAD655CD510A',2,25,-70,-76,3.851405621
,,,,,,
1502202588, '5D358CDAED0D',2,28,-67,-68.92857361,1.412341356
1502202588, '9A34ECDEA99E',2,28,-70,-71.24999237,1.430489302
1502202588, 'DAD655CD510A',2,27,-71,-75.03702545,2.17470336
1502202588, '2D1032CDC2EC',3,30,-65,-66.6333313,1.376735926
,,,,,,
1502202648, 'F9632B2DFC58',2,23,-75,-79.30433655,1.743422866
