6392B6C5FB53,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202033, 'DAD655CD510A',2,28,-55,-56.3571434,0.621485353
1502202033, '2D1032CDC2EC',3,30,-44,-45.53333282,1.105888724
1502202033, '459F7A08D5D7',2,29,-67,-68.96551514,0.981353223
1502202033, '94DC6692F976',3,30,-49,-52.56666946,3.41076684
,,,,,,
1502202093, 'DAD655CD510A',2,30,-55,-55.86666107,0.681443989
1502202093, '2D1032CDC2EC',3,30,-44,-45.93333054,0.944431782
1502202093, '459F7A08D5D7',2,27,-67,-69.22222137,1.050030351
1502202093, '94DC6692F976',3,28,-46,-54.0357132,4.89506197
,,,,,,
1502202153, '2D1032CDC2EC',3,30,-43,-44.33333588,0.802296102
1502202153, '459F7A08D5D7',2,28,-66,-68.07141876,1.653916478
1502202153, '94DC6692F976',3,30,-46,-50,3.280032635
1502202153, '5D358CDAED0D',2,30,-49,-49.93333435,0.691491008
,,,,,,
1502202213, '2D1032CDC2EC',3,30,-43,-44.59999466,0.813676357
1502202213, '459F7A08D5D7',2,30,-66,-67.76667786,1.135123849
1502202213, '94DC6692F976',3,30,-45,-47.16666412,1.341211438
1502202213, '5D358CDAED0D',2,30,-49,-50.5,0.776818573
,,,,,,
1502202273, '2D1032CDC2EC',3,30,-42,-43.86667633,0.97320497
1502202273, '459F7A08D5D7',2,28,-64,-68,2.160248756
1502202273, '94DC6692F976',3,30,-45,-47.8666687,2.255006313
1502202273, '5D358CDAED0D',2,29,-49,-50.20690155,0.773642063
,,,,,,
1502202333, '2D1032CDC2EC',3,30,-44,-44.43333054,0.727932274
1502202333, '459F7A08D5D7',2,27,-66,-67.92592621,2.673601627
1502202333, '94DC6692F976',3,29,-49,-51.48275757,1.59509635
1502202333, '5D358CDAED0D',2,30,-48,-49.06666565,0.583292365
,,,,,,
1502202393, '2D1032CDC2EC',3,30,-43,-44.16666794,0.64771986
1502202393, '459F7A08D5D7',2,28,-66,-67.82142639,1.415616155
1502202393, '94DC6692F976',3,30,-48,-49.6333313,1.542128801
1502202393, '5D358CDAED0D',2,28,-49,-49.82143021,0.547963977
,,,,,,
1502202453, '2D1032CDC2EC',3,30,-40,-42.46666718,1.041660786
1502202453, '459F7A08D5D7',2,27,-67,-70.48148346,1.39698422
1502202453, '94DC6692F976',3,30,-44,-50.36666107,3.605391502
1502202453, '5D358CDAED0D',2,29,-50,-52.34482956,1.36998117
,,,,,,
1502202513, '2D1032CDC2EC',3,29,-41,-43.24137878,1.090713501
1502202513, '459F7A08D5D7',2,27,-69,-71.77778625,1.739438176
1502202513, '94DC6692F976',3,29,-48,-49.62068939,0.727706969
1502202513, 'F9632B2DFC58',2,25,-77,-80.28000641,2.010801792
,,,,,,
1502202573, '2D1032CDC2EC',3,30,-42,-42.96666336,0.182574347
1502202573, '459F7A08D5D7',2,27,-70,-74.96296692,3.379590988
1502202573, '94DC6692F976',3,29,-49,-50.65517426,0.669534504
1502202573, 'F9632B2DFC58',2,28,-75,-76.7142868,1.083791614
,,,,,,
1502202633, '2D1032CDC2EC',3,30,-43,-44.96666718,1.272611618
1502202633, '459F7A08D5D7',2,30,-69,-71.36666107,1.902509332
1502202633, '94DC6692F976',3,30,-49,-53.43333817,2.500803232
1502202633, 'F9632B2DFC58',2,22,-71,-77.27272797,4.311467648
,,,,,,
1502202693, '2D1032CDC2EC',3,30,-44,-45.73332977,0.944430709
1502202693, '459F7A08D5D7',2,28,-66,-68.17857361,2.091492414
1502202693, '94DC6692F976',3,26,-47,-50.92307281,2.667178631
1502202693, 'F9632B2DFC58',2,26,-70,-71.99999237,1.131369948
,,,,,,
1502202753, '2D1032CDC2EC',3,30,-42,-44.93333435,0.944433391
1502202753, '459F7A08D5D7',2,27,-63,-66.96296692,1.285465598
1502202753, '94DC6692F976',3,29,-47,-49.37931061,1.082780719
1502202753, 'F9632B2DFC58',2,29,-69,-72.17240143,1.852971315
,,,,,,
1502202813, '2D1032CDC2EC',3,30,-43,-44.90000153,0.994813859
1502202813, '459F7A08D5D7',2,29,-66,-67.82757568,1.136063576
1502202813, '94DC6692F976',3,30,-46,-49.16666412,1.440385461
1502202813, 'F9632B2DFC58',2,28,-70,-72.75000763,1.37773478
,,,,,,
1502202873, '2D1032CDC2EC',3,30,-44,-45.93333817,1.436791062
1502202873, '459F7A08D5D7',2,28,-64,-67.03572083,2.441645622
1502202873, '94DC6692F976',3,30,-46,-48.36666489,1.496738911
1502202873, 'F9632B2DFC58',2,27,-72,-76.22221375,3.308884621
,,,,,,
1502202933, '2D1032CDC2EC',3,29,-42,-43.65517426,1.837620974
1502202933, '459F7A08D5D7',2,25,-64,-67.76000214,2.146314621
1502202933, '94DC6692F976',3,30,-47,-54.19999313,5.767925739
1502202933, 'F9632B2DFC58',2,23,-75,-78.21739197,2.194135666
,,,,,,
1502202993, '2D1032CDC2EC',3,30,-42,-43.56666565,1.040004253
1502202993, '459F7A08D5D7',2,27,-66,-69.11110687,1.5770787
1502202993, '94DC6692F976',3,28,-50,-57.39286041,7.936504364
1502202993, 'F9632B2DFC58',2,25,-74,-78.44000244,2.237558842
,,,,,,
1502203053, '2D1032CDC2EC',3,30,-43,-43.40000153,0.498272836
1502203053, '459F7A08D5D7',2,30,-66,-69.46665955,2.344962597
1502203053, '94DC6692F976',3,29,-49,-51.62068939,1.265301347
1502203053, 'F9632B2DFC58',2,5,-77,-79.80000305,2.280350924
,,,,,,
1502203113, '2D1032CDC2EC',3,29,-42,-42.96551895,0.565859497
1502203113, '459F7A08D5D7',2,27,-68,-71,2.075494528
1502203113, '94DC6692F976',3,29,-49,-50.93103409,1.251600146
1502203113, '5D358CDAED0D',2,30,-50,-51.03333664,0.413840771
,,,,,,
1502203173, '2D1032CDC2EC',3,30,-41,-43.09999847,0.959525228
1502203173, '94DC6692F976',3,29,-51,-54.20689392,1.473075151
1502203173, 'F9632B2DFC58',2,26,-75,-78.65383911,2.226070881
1502203173, '5D358CDAED0D',2,30,-50,-51.36666489,0.718395352
,,,,,,
1502203233, '2D1032CDC2EC',3,29,-42,-43.51723862,0.94946146
1502203233, '459F7A08D5D7',2,28,-67,-70.03572083,1.952818751
1502203233, 'F9632B2DFC58',2,22,-76,-80.1818161,2.403100491
1502203233, '94DC6692F976',3,27,-46,-52.7407341,4.477231503
,,,,,,
1502203293, '2D1032CDC2EC',3,30,-41,-42.53333282,0.628810287
1502203293, '459F7A08D5D7',2,29,-66,-67.17240906,1.255530357
1502203293, '94DC6692F976',3,29,-49,-62.34483337,4.228103161
1502203293, '5D358CDAED0D',2,30,-49,-49.60000229,0.563241482
,,,,,,
1502203353, '2D1032CDC2EC',3,30,-45,-45.60000992,0.723975956
1502203353, '459F7A08D5D7',2,27,-65,-66.25926208,0.984207809
1502203353, '94DC6692F976',3,30,-47,-48.56666946,1.478194118
1502203353, '5D358CDAED0D',2,29,-50,-51.51724243,0.687681377
,,,,,,
1502203413, '2D1032CDC2EC',3,30,-46,-46.39999771,0.563241899
1502203413, '459F7A08D5D7',2,30,-65,-67.30001068,2.830254078
1502203413, '94DC6692F976',3,29,-47,-48.79310608,1.20650959
1502203413, '5D358CDAED0D',2,30,-50,-51.23332977,0.504007697
,,,,,,
1502203473, '2D1032CDC2EC',3,30,-43,-45.13333511,0.973206341
1502203473, '459F7A08D5D7',2,29,-66,-67.37931824,1.177577376
1502203473, '94DC6692F976',3,30,-46,-48.76666641,1.104327798
1502203473, '5D358CDAED0D',2,29,-51,-51.79309464,0.675031543
,,,,,,
1502203533, '2D1032CDC2EC',3,29,-44,-45.03448105,0.68048054
1502203533, '459F7A08D5D7',2,28,-66,-68.9642868,1.318870902
1502203533, '94DC6692F976',3,30,-48,-51.83333588,1.895244241
1502203533, '5D358CDAED0D',2,30,-51,-52.5,0.629723608
,,,,,,
1502203593, '2D1032CDC2EC',3,30,-42,-44.39999771,0.894426823
