F9632B2DFC58,,,,,,
time,hwid,type,samples,maxRSSI,mean,stddev
1502202046, '9A34ECDEA99E',2,30,-70,-71.56668091,1.040006161
1502202046, 'DAD655CD510A',2,28,-68,-68.71427917,0.534522772
1502202046, '2D1032CDC2EC',3,27,-74,-79.00000763,3.823013544
1502202046, '459F7A08D5D7',2,29,-75,-79.31034851,1.312125206
,,,,,,
1502202106, '9A34ECDEA99E',2,30,-71,-72.83333588,1.205828667
1502202106, 'DAD655CD510A',2,30,-68,-69.26667023,0.63968271
1502202106, '2D1032CDC2EC',3,26,-75,-77.26924133,1.537731886
1502202106, '459F7A08D5D7',2,28,-77,-79.57143402,1.525796771
,,,,,,
1502202166, '9A34ECDEA99E',2,29,-69,-72.65518188,1.47056663
1502202166, 'DAD655CD510A',2,28,-69,-70.57141876,1.793581843
1502202166, '2D1032CDC2EC',3,28,-70,-73.60715485,1.196888089
1502202166, '459F7A08D5D7',2,30,-76,-79.80000305,1.669193387
,,,,,,
1502202226, '9A34ECDEA99E',2,29,-71,-71.79309845,0.619867563
1502202226, 'DAD655CD510A',2,28,-69,-71.25,1.23603344
1502202226, '2D1032CDC2EC',3,29,-70,-72.344841,1.289403319
1502202226, '459F7A08D5D7',2,26,-78,-79.53846741,0.947872043
,,,,,,
1502202286, '9A34ECDEA99E',2,30,-68,-70.90000153,1.184672952
1502202286, 'DAD655CD510A',2,28,-68,-70.85713959,2.837766886
1502202286, '2D1032CDC2EC',3,29,-69,-72.62069702,2.094444275
1502202286, '459F7A08D5D7',2,25,-77,-79.04000092,1.206923842
,,,,,,
1502202346, '9A34ECDEA99E',2,30,-66,-69.56666565,2.254240513
1502202346, 'DAD655CD510A',2,28,-68,-71.35713959,2.627693653
1502202346, '2D1032CDC2EC',3,29,-71,-74.65516663,2.553374052
1502202346, '459F7A08D5D7',2,28,-72,-78.9642868,2.045448542
,,,,,,
1502202406, '9A34ECDEA99E',2,29,-67,-69.55172729,2.720107794
1502202406, 'DAD655CD510A',2,29,-69,-71.17241669,2.08855629
1502202406, '2D1032CDC2EC',3,28,-71,-74.96427917,2.395710468
1502202406, '459F7A08D5D7',2,25,-73,-79.24000549,2.222611904
,,,,,,
1502202406, '9A34ECDEA99E',2,29,-67,-69.55172729,2.720107794
1502202406, 'DAD655CD510A',2,29,-69,-71.17241669,2.08855629
1502202406, '2D1032CDC2EC',3,28,-71,-74.96427917,2.395710468
1502202406, '459F7A08D5D7',2,25,-73,-79.24000549,2.222611904
,,,,,,
1502202466, '9A34ECDEA99E',2,30,-69,-71.33333588,1.124439716
1502202466, 'DAD655CD510A',2,28,-67,-67.64285278,0.621485829
1502202466, '2D1032CDC2EC',3,30,-71,-72.06667328,0.739681005
1502202466, '459F7A08D5D7',2,30,-77,-78.6000061,0.770132005
,,,,,,
1502202526, '9A34ECDEA99E',2,29,-70,-71.24137115,0.689472318
1502202526, 'DAD655CD510A',2,29,-67,-68.48275757,0.687681437
1502202526, '2D1032CDC2EC',3,28,-71,-73.28570557,0.975898564
1502202526, '459F7A08D5D7',2,27,-77,-78.81481171,1.00142312
,,,,,,
1502202586, '9A34ECDEA99E',2,28,-70,-70.89286804,0.497347593
1502202586, 'DAD655CD510A',2,29,-67,-68.62069702,0.676851153
1502202586, '2D1032CDC2EC',3,29,-72,-73.10343933,0.976319253
1502202586, '94DC6692F976',3,28,-70,-71.64284515,1.339277625
,,,,,,
1502202586, '9A34ECDEA99E',2,28,-70,-70.89286804,0.497347593
1502202586, 'DAD655CD510A',2,29,-67,-68.62069702,0.676851153
1502202586, '2D1032CDC2EC',3,29,-72,-73.10343933,0.976319253
1502202586, '94DC6692F976',3,28,-70,-71.64284515,1.339277625
,,,,,,
1502202646, '5D358CDAED0D',2,29,-70,-76.03449249,4.338227749
1502202646, '9A34ECDEA99E',2,30,-67,-70.56666565,4.312637329
1502202646, 'DAD655CD510A',2,30,-69,-71.96665192,2.326510191
1502202646, '2D1032CDC2EC',3,30,-71,-74.70000458,3.142038822
,,,,,,
1502202706, '5D358CDAED0D',2,30,-70,-71.4666748,0.730296671
1502202706, '9A34ECDEA99E',2,28,-68,-68.85714722,0.65059942
1502202706, 'DAD655CD510A',2,30,-71,-71.63333893,0.718394935
1502202706, '2D1032CDC2EC',3,28,-69,-71.85714722,1.380131483
,,,,,,
1502202766, '5D358CDAED0D',2,29,-69,-72.51724243,1.454565883
1502202766, '9A34ECDEA99E',2,30,-66,-69.33333588,1.446358323
1502202766, 'DAD655CD510A',2,30,-71,-72.09999084,0.803010404
1502202766, '2D1032CDC2EC',3,30,-68,-70.6333313,1.129031539
,,,,,,
1502202826, '5D358CDAED0D',2,29,-70,-71.72413635,1.031522155
1502202826, '9A34ECDEA99E',2,30,-67,-68.73332977,0.784915268
1502202826, 'DAD655CD510A',2,28,-69,-71.67856598,0.862965643
1502202826, '2D1032CDC2EC',3,29,-70,-72.48274994,1.213634014
,,,,,,
1502202946, '5D358CDAED0D',2,27,-74,-75.96295929,1.480162501
1502202946, '9A34ECDEA99E',2,28,-73,-75.57142639,1.372442961
1502202946, 'DAD655CD510A',2,30,-72,-74.50000763,1.456257105
1502202946, '2D1032CDC2EC',3,30,-67,-69.03334045,1.351457596
,,,,,,
1502202946, '5D358CDAED0D',2,27,-74,-75.96295929,1.480162501
1502202946, '9A34ECDEA99E',2,28,-73,-75.57142639,1.372442961
1502202946, 'DAD655CD510A',2,30,-72,-74.50000763,1.456257105
1502202946, '2D1032CDC2EC',3,30,-67,-69.03334045,1.351457596
,,,,,,
1502203006, '5D358CDAED0D',2,25,-71,-78.11998749,3.60924983
1502203006, 'DAD655CD510A',2,29,-69,-73.27585602,2.914207458
1502203006, '2D1032CDC2EC',3,29,-69,-70.44826508,1.270157337
1502203006, '459F7A08D5D7',2,28,-73,-76.07142639,1.561780214
,,,,,,
1502203066, '5D358CDAED0D',2,24,-70,-77.29166412,2.457980871
1502203066, '9A34ECDEA99E',2,28,-69,-71.75,1.109721541
