459F7A08D5D7
source,time,hwid,type,samples,maxRSSI,mean,stddev
459F7A08D5D7,1502471845,9A34ECDEA99E,2,30,-76,-79.3,1.4657
459F7A08D5D7,1502471845,DAD655CD510A,2,28,-69,-70.25,0.887151
459F7A08D5D7,1502471845,F9632B2DFC58,2,26,-78,-84.2692,2.58546
459F7A08D5D7,1502471845,5D358CDAED0D,2,30,-67,-67.3333,0.546673
459F7A08D5D7,1502471905,DAD655CD510A,2,30,-67,-68.6667,1.02833
459F7A08D5D7,1502471905,F9632B2DFC58,2,26,-76,-78.7692,3.0372
459F7A08D5D7,1502471905,5D358CDAED0D,2,29,-66,-67.6207,0.820008
459F7A08D5D7,1502471905,9A34ECDEA99E,2,29,-76,-78.6207,1.04928
459F7A08D5D7,1502471965,DAD655CD510A,2,29,-66,-68.4483,1.21262
459F7A08D5D7,1502471965,F9632B2DFC58,2,30,-76,-77.0,1.05045
459F7A08D5D7,1502471965,5D358CDAED0D,2,30,-66,-67.4667,0.81931
459F7A08D5D7,1502471965,9A34ECDEA99E,2,28,-76,-77.8571,1.0789
459F7A08D5D7,1502472025,DAD655CD510A,2,29,-67,-69.2069,1.01346
459F7A08D5D7,1502472025,F9632B2DFC58,2,29,-77,-78.5172,0.687683
459F7A08D5D7,1502472025,5D358CDAED0D,2,30,-66,-67.8333,1.08543
459F7A08D5D7,1502472025,9A34ECDEA99E,2,29,-78,-79.9655,1.34914
459F7A08D5D7,1502472085,DAD655CD510A,2,29,-62,-67.7586,3.39806
459F7A08D5D7,1502472085,F9632B2DFC58,2,30,-77,-81.1333,3.90166
459F7A08D5D7,1502472085,5D358CDAED0D,2,29,-66,-66.931,1.16285
459F7A08D5D7,1502472085,9A34ECDEA99E,2,20,-76,-82.6,3.57476
459F7A08D5D7,1502472205,5D358CDAED0D,2,27,-68,-70.8148,1.81949
459F7A08D5D7,1502472205,DAD655CD510A,2,29,-62,-66.6207,2.33626
459F7A08D5D7,1502472205,F9632B2DFC58,2,25,-80,-83.28,1.72046
459F7A08D5D7,1502472205,9A34ECDEA99E,2,25,-73,-78.52,3.72066
459F7A08D5D7,1502472265,5D358CDAED0D,2,30,-68,-70.8,1.84578
459F7A08D5D7,1502472265,9A34ECDEA99E,2,26,-74,-76.9231,1.44008
459F7A08D5D7,1502472265,DAD655CD510A,2,29,-64,-69.6897,3.02494
459F7A08D5D7,1502472265,F9632B2DFC58,2,27,-78,-81.8148,1.52005
459F7A08D5D7,1502472325,5D358CDAED0D,2,29,-69,-72.7586,2.182
459F7A08D5D7,1502472325,9A34ECDEA99E,2,28,-75,-77.3214,1.61138
459F7A08D5D7,1502472325,DAD655CD510A,2,29,-66,-68.5517,2.08029
459F7A08D5D7,1502472325,F9632B2DFC58,2,28,-78,-81.1786,1.94467
459F7A08D5D7,1502472385,5D358CDAED0D,2,29,-69,-72.1379,1.92213
459F7A08D5D7,1502472385,9A34ECDEA99E,2,29,-74,-76.4138,1.91828
459F7A08D5D7,1502472385,DAD655CD510A,2,27,-64,-71.4444,5.09399
459F7A08D5D7,1502472385,F9632B2DFC58,2,27,-77,-78.8518,1.85438
459F7A08D5D7,1502472445,5D358CDAED0D,2,25,-68,-71.76,2.20378
459F7A08D5D7,1502472445,9A34ECDEA99E,2,27,-74,-77.8518,3.14647
459F7A08D5D7,1502472445,DAD655CD510A,2,28,-66,-70.7143,3.38687
459F7A08D5D7,1502472445,F9632B2DFC58,2,30,-77,-78.2,1.0635
459F7A08D5D7,1502472505,5D358CDAED0D,2,27,-69,-74.9259,3.36184
459F7A08D5D7,1502472505,DAD655CD510A,2,29,-62,-68.6552,4.02914
459F7A08D5D7,1502472505,F9632B2DFC58,2,27,-77,-78.5555,1.25064
459F7A08D5D7,1502472505,6392B6C5FB53,2,28,-66,-72.1071,3.59361
459F7A08D5D7,1502472565,5D358CDAED0D,2,28,-73,-76.3571,1.56854
459F7A08D5D7,1502472565,9A34ECDEA99E,2,30,-75,-76.8,1.15669
459F7A08D5D7,1502472565,DAD655CD510A,2,30,-64,-68.4333,2.04574
459F7A08D5D7,1502472565,F9632B2DFC58,2,26,-77,-78.5,0.761577
459F7A08D5D7,1502472625,5D358CDAED0D,2,28,-74,-75.5,1.26198
459F7A08D5D7,1502472625,9A34ECDEA99E,2,28,-75,-76.5714,1.13622
459F7A08D5D7,1502472625,DAD655CD510A,2,29,-66,-68.1035,1.77974
