5D358CDAED0D
source,time,hwid,type,samples,maxRSSI,mean,stddev
5D358CDAED0D,1502471818,9A34ECDEA99E,2,21,-57,-57.4762,0.601585
5D358CDAED0D,1502471818,F9632B2DFC58,2,28,-71,-72.4286,1.19965
5D358CDAED0D,1502471818,6392B6C5FB53,2,30,-43,-43.1333,0.345746
5D358CDAED0D,1502471818,459F7A08D5D7,2,28,-66,-67.0714,0.662687
5D358CDAED0D,1502471878,9A34ECDEA99E,2,30,-57,-57.9,0.305128
5D358CDAED0D,1502471878,F9632B2DFC58,2,27,-72,-76.7037,2.86645
5D358CDAED0D,1502471878,459F7A08D5D7,2,27,-67,-67.4815,0.642732
5D358CDAED0D,1502471878,6392B6C5FB53,2,29,-42,-43.1379,0.441114
5D358CDAED0D,1502471938,F9632B2DFC58,2,28,-71,-74.4286,1.28894
5D358CDAED0D,1502471938,459F7A08D5D7,2,29,-66,-67.1724,0.658407
5D358CDAED0D,1502471938,9A34ECDEA99E,2,29,-55,-57.6897,0.890562
5D358CDAED0D,1502471938,6392B6C5FB53,2,29,-43,-43.6897,0.470823
5D358CDAED0D,1502471998,F9632B2DFC58,2,30,-70,-72.7667,3.33925
5D358CDAED0D,1502471998,459F7A08D5D7,2,30,-67,-68.1333,0.776082
5D358CDAED0D,1502471998,9A34ECDEA99E,2,30,-58,-58.5333,0.571347
5D358CDAED0D,1502471998,6392B6C5FB53,2,30,-43,-43.4667,0.507416
5D358CDAED0D,1502472058,F9632B2DFC58,2,27,-76,-79.1481,2.10683
5D358CDAED0D,1502472058,459F7A08D5D7,2,30,-66,-66.8333,0.791478
5D358CDAED0D,1502472058,9A34ECDEA99E,2,29,-57,-58.5517,0.73612
5D358CDAED0D,1502472058,6392B6C5FB53,2,28,-43,-43.5,0.509175
5D358CDAED0D,1502472118,F9632B2DFC58,2,21,-77,-81.9524,2.06098
5D358CDAED0D,1502472118,459F7A08D5D7,2,22,-65,-67.3636,1.39882
5D358CDAED0D,1502472118,9A34ECDEA99E,2,22,-58,-59.3182,0.893702
5D358CDAED0D,1502472118,6392B6C5FB53,2,20,-42,-43.65,0.587143
5D358CDAED0D,1502472178,9A34ECDEA99E,2,28,-59,-60.75,0.927961
5D358CDAED0D,1502472178,6392B6C5FB53,2,29,-43,-43.7241,0.454859
5D358CDAED0D,1502472178,F9632B2DFC58,2,24,-77,-82.625,3.56081
5D358CDAED0D,1502472178,459F7A08D5D7,2,26,-66,-69.3462,2.13433
5D358CDAED0D,1502472238,6392B6C5FB53,2,28,-43,-43.1786,0.390021
5D358CDAED0D,1502472238,9A34ECDEA99E,2,27,-57,-59.8148,0.786278
5D358CDAED0D,1502472238,DAD655CD510A,2,29,-54,-56.2414,0.912421
5D358CDAED0D,1502472238,F9632B2DFC58,2,29,-76,-79.6897,2.03721
5D358CDAED0D,1502472298,6392B6C5FB53,2,30,-42,-43.1333,0.571345
