6392B6C5FB53
source,time,hwid,type,samples,maxRSSI,mean,stddev
6392B6C5FB53,1502471850,DAD655CD510A,2,30,-50,-51.1,0.402578
6392B6C5FB53,1502471850,F9632B2DFC58,2,27,-72,-77.6296,3.49888
6392B6C5FB53,1502471850,459F7A08D5D7,2,27,-69,-70.7778,0.751067
6392B6C5FB53,1502471850,5D358CDAED0D,2,14,-42,-42.4286,0.85163
6392B6C5FB53,1502471910,DAD655CD510A,2,30,-50,-51.1333,0.434173
6392B6C5FB53,1502471910,F9632B2DFC58,2,23,-71,-81.5217,4.03247
6392B6C5FB53,1502471910,459F7A08D5D7,2,25,-69,-73.64,2.37837
6392B6C5FB53,1502471910,9A34ECDEA99E,2,29,-63,-63.5517,0.631677
6392B6C5FB53,1502471970,DAD655CD510A,2,29,-50,-51.2759,0.921822
6392B6C5FB53,1502471970,F9632B2DFC58,2,28,-77,-81.5,2.70117
6392B6C5FB53,1502471970,459F7A08D5D7,2,28,-70,-72.25,1.14261
6392B6C5FB53,1502471970,9A34ECDEA99E,2,29,-63,-64.069,0.593479
6392B6C5FB53,1502472030,DAD655CD510A,2,30,-49,-49.9,0.402579
6392B6C5FB53,1502472030,459F7A08D5D7,2,30,-68,-70.7667,1.7357
6392B6C5FB53,1502472030,9A34ECDEA99E,2,29,-63,-64.8621,1.32891
6392B6C5FB53,1502472030,F9632B2DFC58,2,24,-75,-78.4583,2.63718
6392B6C5FB53,1502472090,DAD655CD510A,2,30,-49,-50.0,0.525226
6392B6C5FB53,1502472090,F9632B2DFC58,2,28,-71,-73.4643,2.11664
6392B6C5FB53,1502472090,459F7A08D5D7,2,29,-70,-73.6207,2.27429
6392B6C5FB53,1502472090,9A34ECDEA99E,2,28,-62,-65.3928,1.61794
6392B6C5FB53,1502472150,DAD655CD510A,2,29,-50,-50.5517,0.50612
6392B6C5FB53,1502472150,F9632B2DFC58,2,27,-70,-73.8889,1.50214
6392B6C5FB53,1502472150,459F7A08D5D7,2,26,-68,-72.7692,3.2534
6392B6C5FB53,1502472150,9A34ECDEA99E,2,29,-62,-64.5517,1.47808
6392B6C5FB53,1502472210,5D358CDAED0D,2,30,-42,-42.7333,0.449777
6392B6C5FB53,1502472210,DAD655CD510A,2,30,-50,-51.2333,0.504009
6392B6C5FB53,1502472210,459F7A08D5D7,2,28,-67,-75.5,5.43991
6392B6C5FB53,1502472210,9A34ECDEA99E,2,25,-63,-64.52,1.5843
6392B6C5FB53,1502472270,5D358CDAED0D,2,30,-41,-42.4,0.563242
6392B6C5FB53,1502472270,9A34ECDEA99E,2,28,-62,-65.7857,1.52406
6392B6C5FB53,1502472270,DAD655CD510A,2,30,-50,-50.8667,0.62881
6392B6C5FB53,1502472270,F9632B2DFC58,2,28,-72,-74.6072,1.81229
6392B6C5FB53,1502472330,5D358CDAED0D,2,29,-42,-42.7931,0.412251
6392B6C5FB53,1502472330,9A34ECDEA99E,2,27,-63,-65.7778,1.60127
6392B6C5FB53,1502472330,DAD655CD510A,2,30,-49,-50.7667,0.568321
6392B6C5FB53,1502472330,F9632B2DFC58,2,25,-71,-74.0,3.62859
6392B6C5FB53,1502472390,5D358CDAED0D,2,30,-42,-42.3,0.466094
6392B6C5FB53,1502472390,9A34ECDEA99E,2,30,-62,-63.6,0.674665
6392B6C5FB53,1502472390,DAD655CD510A,2,29,-50,-51.1034,0.557086
6392B6C5FB53,1502472390,F9632B2DFC58,2,16,-78,-84.4375,3.0104
6392B6C5FB53,1502472450,5D358CDAED0D,2,30,-40,-42.6333,1.24522
6392B6C5FB53,1502472450,9A34ECDEA99E,2,27,-62,-63.037,0.706098
6392B6C5FB53,1502472450,DAD655CD510A,2,29,-50,-51.5862,1.0183
6392B6C5FB53,1502472450,F9632B2DFC58,2,16,-75,-82.4375,2.96578
6392B6C5FB53,1502472510,5D358CDAED0D,2,30,-42,-43.1333,0.434173
6392B6C5FB53,1502472510,9A34ECDEA99E,2,28,-61,-63.5714,0.959496
6392B6C5FB53,1502472510,DAD655CD510A,2,30,-50,-50.9333,0.583292
6392B6C5FB53,1502472510,F9632B2DFC58,2,23,-81,-84.1304,1.91417
6392B6C5FB53,1502472570,5D358CDAED0D,2,30,-43,-43.3,0.466092
6392B6C5FB53,1502472570,9A34ECDEA99E,2,29,-61,-62.5517,0.985109
6392B6C5FB53,1502472570,DAD655CD510A,2,30,-51,-51.1333,0.345746
6392B6C5FB53,1502472570,459F7A08D5D7,2,28,-68,-73.1429,3.00265
6392B6C5FB53,1502472630,5D358CDAED0D,2,30,-43,-43.0333,0.182574
6392B6C5FB53,1502472630,9A34ECDEA99E,2,29,-61,-62.8621,0.953345
6392B6C5FB53,1502472630,DAD655CD510A,2,30,-51,-51.2667,0.449776
6392B6C5FB53,1502472630,459F7A08D5D7,2,28,-71,-75.3929,1.81229
6392B6C5FB53,1502472690,5D358CDAED0D,2,30,-43,-43.0,0.0
6392B6C5FB53,1502472690,9A34ECDEA99E,2,27,-62,-62.8148,0.622466
6392B6C5FB53,1502472690,DAD655CD510A,2,30,-51,-51.3667,0.490133
6392B6C5FB53,1502472690,F9632B2DFC58,2,21,-79,-82.8095,2.48232
6392B6C5FB53,1502472750,5D358CDAED0D,2,30,-43,-43.1667,0.379049
6392B6C5FB53,1502472750,9A34ECDEA99E,2,28,-62,-63.2143,0.738223
6392B6C5FB53,1502472750,DAD655CD510A,2,30,-50,-51.6,0.563241
6392B6C5FB53,1502472750,F9632B2DFC58,2,16,-78,-83.625,3.13847
6392B6C5FB53,1502472810,5D358CDAED0D,2,30,-43,-43.0,0.0
6392B6C5FB53,1502472810,9A34ECDEA99E,2,28,-63,-63.7143,0.658682
6392B6C5FB53,1502472810,DAD655CD510A,2,29,-51,-51.4828,0.508547
6392B6C5FB53,1502472810,F9632B2DFC58,2,16,-79,-83.6875,2.8918
6392B6C5FB53,1502472870,5D358CDAED0D,2,30,-42,-43.1667,0.592093
6392B6C5FB53,1502472870,9A34ECDEA99E,2,31,-63,-63.871,0.846244
6392B6C5FB53,1502472870,DAD655CD510A,2,29,-50,-51.7931,0.675027
6392B6C5FB53,1502472870,459F7A08D5D7,2,26,-69,-72.3077,2.05464
