9A34ECDEA99E
source,time,hwid,type,samples,maxRSSI,mean,stddev
9A34ECDEA99E,1502471774,F9632B2DFC58,2,29,-66,-66.3448,0.552648
9A34ECDEA99E,1502471774,459F7A08D5D7,2,29,-77,-78.4828,1.18384
9A34ECDEA99E,1502471774,5D358CDAED0D,2,21,-57,-57.8095,0.679636
9A34ECDEA99E,1502471774,6392B6C5FB53,2,30,-65,-65.8667,0.819307
9A34ECDEA99E,1502471834,F9632B2DFC58,2,23,-63,-66.2174,1.20441
9A34ECDEA99E,1502471834,459F7A08D5D7,2,21,-77,-78.5714,1.12123
9A34ECDEA99E,1502471834,5D358CDAED0D,2,19,-56,-57.1053,0.458831
9A34ECDEA99E,1502471834,6392B6C5FB53,2,22,-63,-64.0909,0.971455
9A34ECDEA99E,1502471894,5D358CDAED0D,2,30,-57,-57.8667,0.571346
9A34ECDEA99E,1502471894,6392B6C5FB53,2,29,-63,-63.8621,0.875219
9A34ECDEA99E,1502471894,DAD655CD510A,2,30,-67,-68.5333,0.937101
9A34ECDEA99E,1502471894,F9632B2DFC58,2,29,-66,-68.9655,1.78251
9A34ECDEA99E,1502471954,5D358CDAED0D,2,29,-57,-57.5862,0.501229
9A34ECDEA99E,1502471954,6392B6C5FB53,2,29,-63,-64.4483,0.631676
9A34ECDEA99E,1502471954,DAD655CD510A,2,30,-66,-68.4333,1.13512
9A34ECDEA99E,1502471954,F9632B2DFC58,2,29,-68,-69.1379,0.441112
9A34ECDEA99E,1502472014,5D358CDAED0D,2,30,-58,-58.5667,0.568321
9A34ECDEA99E,1502472014,6392B6C5FB53,2,29,-63,-64.4827,0.94946
9A34ECDEA99E,1502472014,DAD655CD510A,2,30,-66,-67.8,1.18613
9A34ECDEA99E,1502472014,F9632B2DFC58,2,29,-68,-69.8965,0.976319
9A34ECDEA99E,1502472074,5D358CDAED0D,2,30,-57,-58.5,0.682288
9A34ECDEA99E,1502472074,6392B6C5FB53,2,28,-64,-65.9643,1.42678
9A34ECDEA99E,1502472074,DAD655CD510A,2,29,-66,-68.0,1.16497
9A34ECDEA99E,1502472074,F9632B2DFC58,2,30,-67,-70.7,3.21795
9A34ECDEA99E,1502472134,5D358CDAED0D,2,30,-58,-59.6667,1.12444
9A34ECDEA99E,1502472134,6392B6C5FB53,2,29,-62,-64.5862,1.72207
9A34ECDEA99E,1502472134,DAD655CD510A,2,27,-67,-69.7407,1.78869
9A34ECDEA99E,1502472134,F9632B2DFC58,2,26,-71,-72.1538,0.612692
9A34ECDEA99E,1502472194,6392B6C5FB53,2,18,-62,-64.5555,1.42343
9A34ECDEA99E,1502472194,5D358CDAED0D,2,16,-59,-60.3125,0.7932
9A34ECDEA99E,1502472194,DAD655CD510A,2,16,-64,-66.1875,0.910586
9A34ECDEA99E,1502472194,F9632B2DFC58,2,16,-69,-71.625,2.09364
9A34ECDEA99E,1502472254,5D358CDAED0D,2,29,-59,-59.5862,0.568032
9A34ECDEA99E,1502472254,DAD655CD510A,2,30,-66,-66.9667,0.999422
9A34ECDEA99E,1502472254,F9632B2DFC58,2,30,-66,-70.6,1.52225
9A34ECDEA99E,1502472254,459F7A08D5D7,2,27,-75,-77.1111,1.80455
9A34ECDEA99E,1502472314,5D358CDAED0D,2,30,-58,-59.0667,0.52083
9A34ECDEA99E,1502472314,DAD655CD510A,2,29,-67,-67.8276,0.539111
9A34ECDEA99E,1502472314,F9632B2DFC58,2,30,-68,-70.1,1.24152
9A34ECDEA99E,1502472314,459F7A08D5D7,2,26,-75,-77.8077,1.95999
9A34ECDEA99E,1502472374,5D358CDAED0D,2,30,-58,-59.3333,0.660893
9A34ECDEA99E,1502472374,DAD655CD510A,2,30,-66,-68.3333,1.44636
9A34ECDEA99E,1502472374,F9632B2DFC58,2,28,-64,-65.9643,1.23174
9A34ECDEA99E,1502472374,459F7A08D5D7,2,27,-74,-77.1852,1.73287
9A34ECDEA99E,1502472434,5D358CDAED0D,2,31,-58,-58.8387,1.06761
9A34ECDEA99E,1502472434,DAD655CD510A,2,29,-66,-67.7241,1.88787
9A34ECDEA99E,1502472434,F9632B2DFC58,2,30,-66,-66.2333,0.626062
9A34ECDEA99E,1502472434,459F7A08D5D7,2,19,-75,-77.2105,1.75052
9A34ECDEA99E,1502472494,DAD655CD510A,2,30,-63,-64.3667,0.850288
