DAD655CD510A
source,time,hwid,type,samples,maxRSSI,mean,stddev
DAD655CD510A,1502471842,6392B6C5FB53,2,30,-51,-51.9667,0.319842
DAD655CD510A,1502471842,9A34ECDEA99E,2,22,-66,-67.7273,1.38639
DAD655CD510A,1502471842,F9632B2DFC58,2,27,-76,-81.5926,5.42969
DAD655CD510A,1502471842,5D358CDAED0D,2,22,-55,-55.2727,0.455843
DAD655CD510A,1502471902,6392B6C5FB53,2,28,-51,-51.7857,0.498676
DAD655CD510A,1502471902,F9632B2DFC58,2,13,-75,-81.7692,6.1122
DAD655CD510A,1502471902,459F7A08D5D7,2,27,-68,-69.3333,2.44949
DAD655CD510A,1502471902,5D358CDAED0D,2,22,-52,-55.0909,0.867896
DAD655CD510A,1502471962,6392B6C5FB53,2,30,-51,-52.0333,0.614947
DAD655CD510A,1502471962,459F7A08D5D7,2,30,-66,-68.6667,2.57753
DAD655CD510A,1502471962,5D358CDAED0D,2,22,-54,-54.9545,0.213201
DAD655CD510A,1502471962,9A34ECDEA99E,2,29,-66,-68.6552,3.09695
DAD655CD510A,1502472022,6392B6C5FB53,2,29,-50,-50.4138,0.568032
DAD655CD510A,1502472022,459F7A08D5D7,2,30,-68,-69.5667,2.40235
DAD655CD510A,1502472022,5D358CDAED0D,2,22,-54,-54.8636,0.35125
DAD655CD510A,1502472022,9A34ECDEA99E,2,29,-66,-68.2414,2.13232
DAD655CD510A,1502472082,6392B6C5FB53,2,29,-47,-50.7586,1.05746
DAD655CD510A,1502472082,459F7A08D5D7,2,30,-62,-68.4667,3.56934
DAD655CD510A,1502472082,5D358CDAED0D,2,23,-54,-55.2174,0.518435
DAD655CD510A,1502472082,9A34ECDEA99E,2,28,-65,-67.5714,1.19965
DAD655CD510A,1502472082,6392B6C5FB53,2,29,-47,-50.7586,1.05746
DAD655CD510A,1502472082,459F7A08D5D7,2,30,-62,-68.4667,3.56934
DAD655CD510A,1502472082,5D358CDAED0D,2,23,-54,-55.2174,0.518435
DAD655CD510A,1502472082,9A34ECDEA99E,2,28,-65,-67.5714,1.19965
DAD655CD510A,1502472142,6392B6C5FB53,2,12,-50,-51.25,0.621582
DAD655CD510A,1502472142,F9632B2DFC58,2,25,-75,-77.24,1.33167
DAD655CD510A,1502472142,459F7A08D5D7,2,26,-63,-66.6538,2.26172
DAD655CD510A,1502472142,9A34ECDEA99E,2,26,-66,-69.1539,1.84808
DAD655CD510A,1502472202,F9632B2DFC58,2,23,-74,-78.4348,1.72748
DAD655CD510A,1502472202,459F7A08D5D7,2,26,-63,-66.6154,3.51086
DAD655CD510A,1502472202,9A34ECDEA99E,2,22,-65,-66.5455,0.857863
DAD655CD510A,1502472202,6392B6C5FB53,2,26,-51,-51.8846,0.325813
