F9632B2DFC58
source,time,hwid,type,samples,maxRSSI,mean,stddev
F9632B2DFC58,1502471684,6392B6C5FB53,2,27,-73,-77.2593,2.41139
F9632B2DFC58,1502471684,9A34ECDEA99E,2,30,-63,-66.8333,1.11675
F9632B2DFC58,1502471684,DAD655CD510A,2,29,-76,-82.2759,3.73111
F9632B2DFC58,1502471684,459F7A08D5D7,2,28,-81,-84.5714,2.00792
F9632B2DFC58
source,time,hwid,type,samples,maxRSSI,mean,stddev
F9632B2DFC58,1502471804,6392B6C5FB53,2,30,-73,-75.4,1.13259
F9632B2DFC58,1502471804,9A34ECDEA99E,2,30,-66,-66.2,0.406837
F9632B2DFC58,1502471804,DAD655CD510A,2,24,-78,-82.3333,2.76102
F9632B2DFC58,1502471804,459F7A08D5D7,2,28,-82,-84.0,1.21716
F9632B2DFC58,1502471864,6392B6C5FB53,2,29,-71,-78.3103,4.18418
F9632B2DFC58,1502471864,9A34ECDEA99E,2,31,-63,-67.2903,2.19383
F9632B2DFC58,1502471864,DAD655CD510A,2,30,-74,-78.8667,4.93917
F9632B2DFC58,1502471864,459F7A08D5D7,2,26,-78,-83.4231,2.96881
F9632B2DFC58,1502471924,6392B6C5FB53,2,28,-79,-82.7857,3.28134
F9632B2DFC58,1502471924,DAD655CD510A,2,7,-88,-91.2857,2.13809
F9632B2DFC58,1502471924,459F7A08D5D7,2,29,-76,-76.8276,0.601721
F9632B2DFC58,1502471924,5D358CDAED0D,2,29,-73,-75.5172,1.54967
F9632B2DFC58,1502471984,6392B6C5FB53,2,30,-79,-82.3333,2.95172
F9632B2DFC58,1502471984,DAD655CD510A,2,14,-77,-89.7143,4.2504
F9632B2DFC58,1502471984,459F7A08D5D7,2,29,-76,-77.6207,1.04928
F9632B2DFC58,1502471984,5D358CDAED0D,2,30,-70,-71.7667,1.75545
F9632B2DFC58,1502472044,6392B6C5FB53,2,27,-72,-77.1111,2.32599
F9632B2DFC58,1502472044,DAD655CD510A,2,29,-78,-80.0,1.75255
F9632B2DFC58,1502472044,459F7A08D5D7,2,30,-77,-78.4,0.813674
F9632B2DFC58,1502472044,5D358CDAED0D,2,28,-73,-78.6786,2.14396
F9632B2DFC58,1502472104,6392B6C5FB53,2,29,-71,-72.6897,1.58347
F9632B2DFC58,1502472104,459F7A08D5D7,2,29,-78,-83.4138,3.27891
F9632B2DFC58,1502472104,5D358CDAED0D,2,28,-76,-81.4643,2.6455
F9632B2DFC58,1502472104,9A34ECDEA99E,2,29,-66,-70.6552,1.36998
F9632B2DFC58,1502472164,6392B6C5FB53,2,29,-71,-74.069,1.73063
F9632B2DFC58,1502472164,5D358CDAED0D,2,28,-76,-81.8214,3.63168
F9632B2DFC58,1502472164,DAD655CD510A,2,27,-74,-77.1482,2.0885
F9632B2DFC58,1502472164,459F7A08D5D7,2,28,-81,-83.2857,2.0341
F9632B2DFC58,1502472224,9A34ECDEA99E,2,29,-68,-70.7931,1.26432
F9632B2DFC58,1502472224,6392B6C5FB53,2,30,-72,-73.6667,1.21296
F9632B2DFC58,1502472224,5D358CDAED0D,2,27,-77,-80.7778,2.96561
F9632B2DFC58,1502472224,DAD655CD510A,2,29,-74,-77.3103,1.60587
F9632B2DFC58,1502472284,6392B6C5FB53,2,29,-71,-74.5862,2.16328
F9632B2DFC58,1502472284,5D358CDAED0D,2,28,-75,-77.7143,1.2128
F9632B2DFC58,1502472284,9A34ECDEA99E,2,30,-68,-70.1333,1.30604
F9632B2DFC58,1502472284,DAD655CD510A,2,30,-74,-75.3333,1.29544
F9632B2DFC58,1502472344,6392B6C5FB53,2,27,-71,-77.2963,6.38396
F9632B2DFC58,1502472344,5D358CDAED0D,2,29,-72,-77.0,1.90863
F9632B2DFC58,1502472344,9A34ECDEA99E,2,30,-65,-67.7667,2.29968
F9632B2DFC58,1502472344,DAD655CD510A,2,28,-74,-77.3929,3.34818
F9632B2DFC58,1502472404,5D358CDAED0D,2,27,-76,-80.4815,2.88724
F9632B2DFC58,1502472404,9A34ECDEA99E,2,30,-65,-65.9667,0.490132
F9632B2DFC58,1502472404,DAD655CD510A,2,29,-77,-78.9655,1.20957
F9632B2DFC58,1502472404,459F7A08D5D7,2,25,-77,-78.44,1.78139
F9632B2DFC58,1502472464,6392B6C5FB53,2,23,-80,-85.9131,3.34274
F9632B2DFC58,1502472464,5D358CDAED0D,2,23,-77,-81.4348,1.94997
F9632B2DFC58,1502472464,9A34ECDEA99E,2,29,-66,-66.2759,0.454858
F9632B2DFC58,1502472464,DAD655CD510A,2,28,-77,-78.6786,1.24881
F9632B2DFC58,1502472524,6392B6C5FB53,2,27,-81,-85.2963,3.3376
F9632B2DFC58,1502472524,5D358CDAED0D,2,26,-76,-79.0385,1.98959
F9632B2DFC58,1502472524,9A34ECDEA99E,2,30,-64,-66.1667,0.592093
F9632B2DFC58,1502472524,DAD655CD510A,2,29,-77,-78.5517,0.98511
F9632B2DFC58,1502472524,6392B6C5FB53,2,27,-81,-85.2963,3.3376
F9632B2DFC58,1502472524,5D358CDAED0D,2,26,-76,-79.0385,1.98959
F9632B2DFC58,1502472524,9A34ECDEA99E,2,30,-64,-66.1667,0.592093
F9632B2DFC58,1502472524,DAD655CD510A,2,29,-77,-78.5517,0.98511
F9632B2DFC58,1502472584,6392B6C5FB53,2,19,-81,-86.8947,3.41394
F9632B2DFC58,1502472584,5D358CDAED0D,2,28,-74,-77.25,1.43049
F9632B2DFC58,1502472584,9A34ECDEA99E,2,30,-66,-66.5,0.629724
F9632B2DFC58,1502472584,DAD655CD510A,2,28,-76,-78.9643,1.42678
F9632B2DFC58,1502472644,6392B6C5FB53,2,23,-81,-84.913,2.27462
F9632B2DFC58,1502472644,5D358CDAED0D,2,28,-71,-74.9286,1.48893
F9632B2DFC58,1502472644,9A34ECDEA99E,2,30,-64,-65.2333,0.77385
F9632B2DFC58,1502472644,DAD655CD510A,2,28,-75,-76.9643,1.0709
F9632B2DFC58,1502472644,6392B6C5FB53,2,23,-81,-84.913,2.27462
F9632B2DFC58,1502472644,5D358CDAED0D,2,28,-71,-74.9286,1.48893
F9632B2DFC58,1502472644,9A34ECDEA99E,2,30,-64,-65.2333,0.77385
F9632B2DFC58,1502472644,DAD655CD510A,2,28,-75,-76.9643,1.0709
F9632B2DFC58,1502472704,6392B6C5FB53,2,24,-78,-84.0,4.04325
F9632B2DFC58,1502472704,5D358CDAED0D,2,28,-74,-77.5357,2.6455
F9632B2DFC58,1502472704,9A34ECDEA99E,2,30,-65,-66.5333,1.13664
F9632B2DFC58,1502472704,DAD655CD510A,2,29,-76,-80.1379,3.46126
F9632B2DFC58,1502472704,6392B6C5FB53,2,24,-78,-84.0,4.04325
F9632B2DFC58,1502472704,5D358CDAED0D,2,28,-74,-77.5357,2.6455
