459F7A08D5D7
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377167, 'DAD655CD510A', 2, 29, -67, -67.48275756835938, 0.633622944355011)
  (1502377167, '9A34ECDEA99E', 2, 27, -73, -75.62962341308594, 1.1485135555267334)
  (1502377167, '6392B6C5FB53', 2, 30, -64, -66.46666717529297, 1.1957758665084839)
  (1502377167, '2D1032CDC2EC', 3, 28, -68, -74.71427917480469, 4.126312732696533)]]
[[ (1502377227, 'DAD655CD510A', 2, 28, -67, -68.8928451538086, 1.0659459829330444)
  (1502377227, '9A34ECDEA99E', 2, 27, -75, -77.370361328125, 1.1485141515731812)
  (1502377227, '6392B6C5FB53', 2, 29, -65, -66.13793182373047, 0.9533452987670898)
  (1502377227, '2D1032CDC2EC', 3, 29, -67, -68.99999237060547, 2.37546706199646)]]
[[ (1502377287, 'DAD655CD510A', 2, 30, -66, -67.96666717529297, 1.8843005895614624)
  (1502377287, '9A34ECDEA99E', 2, 27, -74, -75.96295166015625, 1.4000405073165894)
  (1502377287, '6392B6C5FB53', 2, 30, -64, -65.93333435058594, 1.2015318870544434)
  (1502377287, '2D1032CDC2EC', 3, 29, -66, -69.10346984863281, 1.5199733972549438)]]
[[ (1502377347, 'DAD655CD510A', 2, 30, -64, -65.63333129882812, 0.8899182677268982)
  (1502377347, '9A34ECDEA99E', 2, 27, -75, -76.9259262084961, 1.3279807567596436)
  (1502377347, '6392B6C5FB53', 2, 29, -65, -66.4137954711914, 0.8245013356208801)
  (1502377347, '2D1032CDC2EC', 3, 30, -67, -70.03333282470703, 1.9561268091201782)]]
[[(1502377827, '9A34ECDEA99E', 2, 22, -75, -77.0, 1.3801312446594238)
  (1502377827, '6392B6C5FB53', 2, 23, -66, -66.56522369384766, 0.895751416683197)
  (1502377827, '2D1032CDC2EC', 3, 23, -72, -76.56522369384766, 3.2168045043945312)
  (1502377827, '94DC6692F976', 3, 24, -59, -59.999996185302734, 0.5107550621032715)]]
[[(1502377827, '9A34ECDEA99E', 2, 22, -75, -77.0, 1.3801312446594238)
  (1502377827, '6392B6C5FB53', 2, 23, -66, -66.56522369384766, 0.895751416683197)
  (1502377827, '2D1032CDC2EC', 3, 23, -72, -76.56522369384766, 3.2168045043945312)
  (1502377827, '94DC6692F976', 3, 24, -59, -59.999996185302734, 0.5107550621032715)]]
[[(1502377827, '9A34ECDEA99E', 2, 22, -75, -77.0, 1.3801312446594238)
  (1502377827, '6392B6C5FB53', 2, 23, -66, -66.56522369384766, 0.895751416683197)
  (1502377827, '2D1032CDC2EC', 3, 23, -72, -76.56522369384766, 3.2168045043945312)
  (1502377827, '94DC6692F976', 3, 24, -59, -59.999996185302734, 0.5107550621032715)]]
[[ (1502377887, '9A34ECDEA99E', 2, 27, -75, -76.77777862548828, 0.8006405234336853)
  (1502377887, '6392B6C5FB53', 2, 27, -65, -65.74073791503906, 0.6558965444564819)
  (1502377887, '2D1032CDC2EC', 3, 24, -72, -75.54166412353516, 1.5597984790802002)
  (1502377887, '94DC6692F976', 3, 27, -57, -60.111114501953125, 0.8006407022476196)]]
[[ (1502377887, '9A34ECDEA99E', 2, 27, -75, -76.77777862548828, 0.8006405234336853)
  (1502377887, '6392B6C5FB53', 2, 27, -65, -65.74073791503906, 0.6558965444564819)
  (1502377887, '2D1032CDC2EC', 3, 24, -72, -75.54166412353516, 1.5597984790802002)
  (1502377887, '94DC6692F976', 3, 27, -57, -60.111114501953125, 0.8006407022476196)]]
[[ (1502377947, '6392B6C5FB53', 2, 30, -65, -66.29998779296875, 1.207732081413269)
  (1502377947, '2D1032CDC2EC', 3, 23, -71, -80.6956558227539, 4.394567966461182)
  (1502377947, '94DC6692F976', 3, 30, -59, -60.133331298828125, 0.6814458966255188)
  (1502377947, '5D358CDAED0D', 2, 27, -67, -68.96296691894531, 1.4000405073165894)]]
[[ (1502377947, '6392B6C5FB53', 2, 30, -65, -66.29998779296875, 1.207732081413269)
  (1502377947, '2D1032CDC2EC', 3, 23, -71, -80.6956558227539, 4.394567966461182)
  (1502377947, '94DC6692F976', 3, 30, -59, -60.133331298828125, 0.6814458966255188)
  (1502377947, '5D358CDAED0D', 2, 27, -67, -68.96296691894531, 1.4000405073165894)]]
[[ (1502378007, '9A34ECDEA99E', 2, 25, -70, -77.68000030517578, 2.764657974243164)
  (1502378007, '6392B6C5FB53', 2, 29, -64, -65.75862121582031, 0.8304541110992432)
  (1502378007, '2D1032CDC2EC', 3, 24, -72, -79.45832824707031, 6.1783599853515625)
  (1502378007, 'F9632B2DFC58', 2, 25, -79, -81.72000122070312, 1.6207002401351929)]]
[[ (1502378007, '9A34ECDEA99E', 2, 25, -70, -77.68000030517578, 2.764657974243164)
  (1502378007, '6392B6C5FB53', 2, 29, -64, -65.75862121582031, 0.8304541110992432)
  (1502378007, '2D1032CDC2EC', 3, 24, -72, -79.45832824707031, 6.1783599853515625)
  (1502378007, 'F9632B2DFC58', 2, 25, -79, -81.72000122070312, 1.6207002401351929)]]
[[ (1502378067, '9A34ECDEA99E', 2, 26, -71, -75.34613800048828, 1.958412766456604)
  (1502378067, '6392B6C5FB53', 2, 28, -65, -65.96427917480469, 0.5078721046447754)
  (1502378067, '2D1032CDC2EC', 3, 24, -73, -78.04166412353516, 3.4950788021087646)
  (1502378067, '94DC6692F976', 3, 30, -57, -60.233333587646484, 0.897633969783783)]]
[[ (1502378067, '9A34ECDEA99E', 2, 26, -71, -75.34613800048828, 1.958412766456604)
  (1502378067, '6392B6C5FB53', 2, 28, -65, -65.96427917480469, 0.5078721046447754)
  (1502378067, '2D1032CDC2EC', 3, 24, -73, -78.04166412353516, 3.4950788021087646)
  (1502378067, '94DC6692F976', 3, 30, -57, -60.233333587646484, 0.897633969783783)]]
[[ (1502378127, '9A34ECDEA99E', 2, 29, -72, -75.06896209716797, 1.510228157043457)
  (1502378127, '6392B6C5FB53', 2, 28, -65, -66.0, 0.6666659712791443)
  (1502378127, '94DC6692F976', 3, 30, -59, -60.19999694824219, 0.7143842577934265)
  (1502378127, '5D358CDAED0D', 2, 30, -64, -66.40000915527344, 1.1626343727111816)]]
[[ (1502378187, '9A34ECDEA99E', 2, 25, -75, -76.84000396728516, 1.2138086557388306)
  (1502378187, '6392B6C5FB53', 2, 29, -64, -65.27587127685547, 0.6489871144294739)
  (1502378187, '2D1032CDC2EC', 3, 21, -73, -81.47618103027344, 3.842120885848999)
  (1502378187, '94DC6692F976', 3, 30, -59, -60.29999923706055, 0.6512600779533386)]]
[[ (1502378187, '9A34ECDEA99E', 2, 25, -75, -76.84000396728516, 1.2138086557388306)
  (1502378187, '6392B6C5FB53', 2, 29, -64, -65.27587127685547, 0.6489871144294739)
  (1502378187, '2D1032CDC2EC', 3, 21, -73, -81.47618103027344, 3.842120885848999)
  (1502378187, '94DC6692F976', 3, 30, -59, -60.29999923706055, 0.6512600779533386)]]
[[ (1502378247, '6392B6C5FB53', 2, 28, -64, -65.57141876220703, 0.9594971537590027)
  (1502378247, '2D1032CDC2EC', 3, 22, -72, -77.09091186523438, 3.1908960342407227)
  (1502378247, 'F9632B2DFC58', 2, 15, -80, -84.33333587646484, 2.4688527584075928)
  (1502378247, '94DC6692F976', 3, 30, -60, -60.60000228881836, 0.6214553117752075)]]
[[ (1502378247, '6392B6C5FB53', 2, 28, -64, -65.57141876220703, 0.9594971537590027)
  (1502378247, '2D1032CDC2EC', 3, 22, -72, -77.09091186523438, 3.1908960342407227)
  (1502378247, 'F9632B2DFC58', 2, 15, -80, -84.33333587646484, 2.4688527584075928)
  (1502378247, '94DC6692F976', 3, 30, -60, -60.60000228881836, 0.6214553117752075)]]
