5D358CDAED0D
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377199, '94DC6692F976', 3, 30, -49, -51.466670989990234, 1.3829835653305054)
  (1502377199, 'F9632B2DFC58', 2, 26, -70, -71.46153259277344, 0.7605667114257812)
  (1502377199, 'DAD655CD510A', 2, 30, -51, -51.43333053588867, 0.5040069222450256)
  (1502377199, '459F7A08D5D7', 2, 30, -63, -64.4333267211914, 0.6260610222816467)]]
[[ (1502377259, '94DC6692F976', 3, 29, -51, -52.10344696044922, 0.6178783774375916)
  (1502377259, 'F9632B2DFC58', 2, 29, -70, -72.6551742553711, 1.587357997894287)
  (1502377259, 'DAD655CD510A', 2, 29, -50, -51.10344696044922, 0.6732025742530823)
  (1502377259, '459F7A08D5D7', 2, 30, -64, -64.26667785644531, 0.4497755765914917)]]
[[ (1502377319, '94DC6692F976', 3, 29, -50, -51.65517044067383, 1.2613986730575562)
  (1502377319, 'F9632B2DFC58', 2, 27, -71, -73.2592544555664, 1.7451605796813965)
  (1502377319, 'DAD655CD510A', 2, 30, -50, -51.000003814697266, 0.37139084935188293)
  (1502377319, '459F7A08D5D7', 2, 29, -64, -65.5862045288086, 1.0527942180633545)]]
[[ (1502377379, '94DC6692F976', 3, 30, -48, -50.29999542236328, 0.7022128701210022)
  (1502377379, 'F9632B2DFC58', 2, 28, -69, -74.14285278320312, 1.5083531141281128)
  (1502377379, 'DAD655CD510A', 2, 30, -50, -50.73332977294922, 0.449777215719223)
  (1502377379, '459F7A08D5D7', 2, 30, -65, -66.0333251953125, 0.41384491324424744)]]
[[ (1502377439, '94DC6692F976', 3, 30, -49, -49.89999771118164, 0.305127888917923)
  (1502377439, 'F9632B2DFC58', 2, 30, -71, -74.0666732788086, 1.1426923274993896)
  (1502377439, 'DAD655CD510A', 2, 29, -50, -50.655174255371094, 0.4837247431278229)
  (1502377439, '459F7A08D5D7', 2, 29, -66, -66.75861358642578, 0.739458441734314)]]
[[ (1502377499, '94DC6692F976', 3, 29, -50, -50.65517044067383, 1.0782222747802734)
  (1502377499, 'F9632B2DFC58', 2, 28, -68, -71.28572082519531, 1.921749234199524)
  (1502377499, 'DAD655CD510A', 2, 30, -49, -50.06666564941406, 0.3651489019393921)
  (1502377499, '459F7A08D5D7', 2, 28, -65, -66.10713958740234, 0.6852573752403259)]]
