6392B6C5FB53
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377172, '94DC6692F976', 3, 30, -40, -43.433326721191406, 1.4546788930892944)
  (1502377172, '5D358CDAED0D', 2, 30, -42, -42.900001525878906, 0.30512869358062744)
  (1502377172, 'DAD655CD510A', 2, 30, -50, -50.400001525878906, 0.49827224016189575)
  (1502377172, '459F7A08D5D7', 2, 28, -64, -65.82144165039062, 1.362282395362854)]]
[[ (1502377232, '94DC6692F976', 3, 30, -39, -40.79999923706055, 0.8469023704528809)
  (1502377232, 'F9632B2DFC58', 2, 28, -68, -72.57142639160156, 1.8544952869415283)
  (1502377232, '5D358CDAED0D', 2, 29, -41, -43.137935638427734, 0.5808941721916199)
  (1502377232, 'DAD655CD510A', 2, 30, -50, -50.70000457763672, 0.46609097719192505)]]
[[ (1502377292, '94DC6692F976', 3, 30, -40, -41.33333206176758, 0.9222663044929504)
  (1502377292, 'F9632B2DFC58', 2, 29, -68, -71.34483337402344, 1.3168127536773682)
  (1502377292, '5D358CDAED0D', 2, 30, -42, -43.266666412353516, 0.5208307504653931)
  (1502377292, 'DAD655CD510A', 2, 29, -50, -51.31034851074219, 0.6037638187408447)]]
[[ (1502377352, '94DC6692F976', 3, 30, -42, -46.133338928222656, 1.8332797288894653)
  (1502377352, 'F9632B2DFC58', 2, 27, -68, -70.7407455444336, 1.3182868957519531)
  (1502377352, '5D358CDAED0D', 2, 30, -42, -42.766666412353516, 0.43018341064453125)
  (1502377352, 'DAD655CD510A', 2, 30, -52, -52.0, 0.0)]]
[[ (1502377412, '94DC6692F976', 3, 30, -48, -48.43333435058594, 0.5683221817016602)
  (1502377412, 'F9632B2DFC58', 2, 30, -69, -70.69999694824219, 1.3683611154556274)
  (1502377412, '5D358CDAED0D', 2, 30, -43, -43.0, 0.0)
  (1502377412, 'DAD655CD510A', 2, 29, -51, -51.586204528808594, 0.501230001449585)]]
[[ (1502377472, '94DC6692F976', 3, 30, -45, -46.46666717529297, 0.6288114786148071)
  (1502377472, 'F9632B2DFC58', 2, 28, -68, -70.64286041259766, 1.3666478395462036)
  (1502377472, '5D358CDAED0D', 2, 30, -43, -43.0, 0.0)
  (1502377472, 'DAD655CD510A', 2, 30, -51, -51.73333740234375, 0.6914911866188049)]]
[[ (1502377532, '94DC6692F976', 3, 30, -43, -45.366668701171875, 1.4499320983886719)
  (1502377532, 'F9632B2DFC58', 2, 27, -68, -71.62963104248047, 2.3882412910461426)
  (1502377532, '5D358CDAED0D', 2, 30, -43, -43.10000228881836, 0.3051285147666931)
  (1502377532, 'DAD655CD510A', 2, 30, -51, -52.56666946411133, 0.7738533616065979)]]
[[ (1502377592, '94DC6692F976', 3, 30, -42, -44.56666946411133, 1.3565512895584106)
  (1502377592, 'F9632B2DFC58', 2, 29, -69, -72.03448486328125, 1.2672455310821533)
  (1502377592, '5D358CDAED0D', 2, 30, -42, -42.9666633605957, 0.3198418915271759)
  (1502377592, 'DAD655CD510A', 2, 29, -53, -53.10344696044922, 0.30993393063545227)]]
[[ (1502377652, '94DC6692F976', 3, 30, -39, -43.266666412353516, 4.193044185638428)
  (1502377652, 'F9632B2DFC58', 2, 28, -67, -69.8214111328125, 1.3892039060592651)
  (1502377652, '5D358CDAED0D', 2, 30, -43, -43.63333511352539, 0.6149469614028931)
  (1502377652, 'DAD655CD510A', 2, 30, -51, -52.36666488647461, 0.9278584718704224)]]
[[ (1502377712, 'F9632B2DFC58', 2, 27, -66, -66.96296691894531, 0.5871360301971436)
  (1502377712, '94DC6692F976', 3, 29, -40, -42.20689392089844, 2.3049533367156982)
  (1502377712, '5D358CDAED0D', 2, 30, -43, -43.33333206176758, 0.479463130235672)
  (1502377712, 'DAD655CD510A', 2, 30, -51, -51.666664123535156, 0.6064785122871399)]]
[[ (1502377712, 'F9632B2DFC58', 2, 27, -66, -66.96296691894531, 0.5871360301971436)
  (1502377712, '94DC6692F976', 3, 29, -40, -42.20689392089844, 2.3049533367156982)
  (1502377712, '5D358CDAED0D', 2, 30, -43, -43.33333206176758, 0.479463130235672)
  (1502377712, 'DAD655CD510A', 2, 30, -51, -51.666664123535156, 0.6064785122871399)]]
[[ (1502377772, '94DC6692F976', 3, 30, -43, -44.56665802001953, 1.4546818733215332)
  (1502377772, 'F9632B2DFC58', 2, 28, -66, -66.64286041259766, 0.5587214231491089)
  (1502377772, '5D358CDAED0D', 2, 30, -43, -43.166664123535156, 0.3790483772754669)
  (1502377772, 'DAD655CD510A', 2, 30, -51, -51.966670989990234, 0.5560519099235535)]]
[[ (1502377832, '94DC6692F976', 3, 30, -43, -45.79999542236328, 0.9247558116912842)
  (1502377832, 'F9632B2DFC58', 2, 29, -66, -68.0, 0.7559286952018738)
  (1502377832, '5D358CDAED0D', 2, 30, -43, -43.06666946411133, 0.2537079453468323)
  (1502377832, 'DAD655CD510A', 2, 29, -52, -52.965518951416016, 0.7310827374458313)]]
[[ (1502377892, 'F9632B2DFC58', 2, 26, -67, -67.73076629638672, 0.6667951941490173)
  (1502377892, '94DC6692F976', 3, 30, -44, -45.23332977294922, 0.7738545536994934)
  (1502377892, '5D358CDAED0D', 2, 30, -43, -43.099998474121094, 0.3051286041736603)
  (1502377892, 'DAD655CD510A', 2, 29, -51, -53.137935638427734, 0.8334149122238159)]]
[[ (1502377952, 'F9632B2DFC58', 2, 28, -66, -66.99999237060547, 0.9026674628257751)
  (1502377952, '94DC6692F976', 3, 30, -42, -43.26666259765625, 1.574213981628418)
  (1502377952, '5D358CDAED0D', 2, 30, -42, -43.0666618347168, 0.4497765004634857)
  (1502377952, '9A34ECDEA99E', 2, 29, -64, -66.51724243164062, 1.0895839929580688)]]
[[ (1502378012, 'F9632B2DFC58', 2, 28, -66, -67.14285278320312, 0.7559285759925842)
  (1502378012, '94DC6692F976', 3, 30, -42, -42.63333511352539, 0.7183959484100342)
  (1502378012, '5D358CDAED0D', 2, 30, -42, -42.96666717529297, 0.319842129945755)
  (1502378012, '9A34ECDEA99E', 2, 29, -64, -66.44828033447266, 1.4289394617080688)]]
[[ (1502378072, 'F9632B2DFC58', 2, 28, -67, -68.14286041259766, 0.9704622626304626)
  (1502378072, '94DC6692F976', 3, 30, -41, -43.133338928222656, 1.3829821348190308)
  (1502378072, '5D358CDAED0D', 2, 30, -42, -42.79999542236328, 0.40683701634407043)
  (1502378072, '459F7A08D5D7', 2, 18, -65, -65.44444274902344, 0.6156982183456421)]]
[[ (1502378132, 'F9632B2DFC58', 2, 27, -68, -70.25926971435547, 1.2585904598236084)
  (1502378132, '94DC6692F976', 3, 29, -42, -43.93103790283203, 1.099709153175354)
  (1502378132, '5D358CDAED0D', 2, 30, -42, -42.53333282470703, 0.5074160695075989)
  (1502378132, '459F7A08D5D7', 2, 20, -63, -65.55000305175781, 0.9445138573646545)]]
[[(1502378192, 'F9632B2DFC58', 2, 30, -67, -68.5, 1.1670743227005005)
  (1502378192, '94DC6692F976', 3, 30, -43, -43.5, 0.5085477828979492)
  (1502378192, '5D358CDAED0D', 2, 30, -43, -43.19999694824219, 1.2972123622894287)
  (1502378192, '459F7A08D5D7', 2, 18, -63, -64.66666412353516, 0.8401693105697632)]]
[[ (1502378252, 'F9632B2DFC58', 2, 23, -68, -69.43477630615234, 1.3425260782241821)
  (1502378252, '94DC6692F976', 3, 30, -42, -42.733333587646484, 0.5832921266555786)
  (1502378252, '5D358CDAED0D', 2, 30, -42, -42.9666633605957, 0.1825743466615677)
  (1502378252, 'DAD655CD510A', 2, 29, -51, -52.103450775146484, 0.724313497543335)]]
[[(1502378312, '94DC6692F976', 3, 4, -42, -43.75, 1.7078251838684082)
  (1502378312, '5D358CDAED0D', 2, 30, -43, -43.03333282470703, 0.18257418274879456)
  (1502378312, '459F7A08D5D7', 2, 19, -65, -65.52631378173828, 0.6966944336891174)
  (1502378312, 'DAD655CD510A', 2, 29, -50, -51.620689392089844, 0.9788413643836975)]]
[[ (1502378372, '5D358CDAED0D', 2, 30, -42, -42.9333381652832, 0.9071874618530273)
  (1502378372, '459F7A08D5D7', 2, 16, -64, -65.375, 1.5438047647476196)
  (1502378372, 'DAD655CD510A', 2, 29, -50, -52.89655685424805, 1.0122401714324951)
  (1502378372, '9A34ECDEA99E', 2, 27, -63, -65.07408142089844, 1.238046646118164)]]
[[ (1502378432, '5D358CDAED0D', 2, 30, -42, -42.33333206176758, 0.4794634282588959)
  (1502378432, '459F7A08D5D7', 2, 20, -63, -64.65000915527344, 0.9333029985427856)
  (1502378432, 'DAD655CD510A', 2, 29, -52, -53.62068557739258, 0.7277067303657532)
  (1502378432, '9A34ECDEA99E', 2, 30, -64, -66.43333435058594, 1.3308871984481812)]]
[[ (1502378432, '5D358CDAED0D', 2, 30, -42, -42.33333206176758, 0.4794634282588959)
