9A34ECDEA99E
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377155, 'DAD655CD510A', 2, 28, -65, -67.35714721679688, 1.1292179822921753)
  (1502377155, '459F7A08D5D7', 2, 27, -73, -75.55554962158203, 1.012739658355713)
  (1502377155, '6392B6C5FB53', 2, 28, -64, -71.10714721679688, 2.8197619915008545)
  (1502377155, '2D1032CDC2EC', 3, 26, -66, -74.11538696289062, 4.528371334075928)]]
[[ (1502377215, 'DAD655CD510A', 2, 30, -65, -66.23332977294922, 0.5683201551437378)
  (1502377215, '459F7A08D5D7', 2, 28, -75, -77.5714340209961, 1.3991689682006836)
  (1502377215, '6392B6C5FB53', 2, 29, -65, -68.79310607910156, 1.9342634677886963)
  (1502377215, '2D1032CDC2EC', 3, 27, -70, -77.59259033203125, 6.05906343460083)]]
[[ (1502377275, '459F7A08D5D7', 2, 28, -74, -76.60713958740234, 1.6630903482437134)
  (1502377275, '6392B6C5FB53', 2, 25, -66, -69.40000915527344, 1.892969012260437)
  (1502377275, '2D1032CDC2EC', 3, 21, -67, -79.66666412353516, 7.384665489196777)
  (1502377275, '94DC6692F976', 3, 29, -56, -56.96551513671875, 0.6258001327514648)]]
[[ (1502377335, '459F7A08D5D7', 2, 29, -74, -76.75862884521484, 1.4054789543151855)
  (1502377335, '6392B6C5FB53', 2, 29, -64, -67.4137954711914, 1.2397352457046509)
  (1502377335, '2D1032CDC2EC', 3, 29, -66, -66.96550750732422, 0.823006808757782)
  (1502377335, '94DC6692F976', 3, 30, -56, -56.83332824707031, 0.5920946598052979)]]
[[ (1502377695, '459F7A08D5D7', 2, 26, -74, -76.46153259277344, 1.0288134813308716)
  (1502377695, '6392B6C5FB53', 2, 30, -63, -66.86665344238281, 1.5698323249816895)
  (1502377695, '2D1032CDC2EC', 3, 29, -62, -66.06896209716797, 2.186497926712036)
  (1502377695, '94DC6692F976', 3, 28, -56, -57.42857360839844, 0.790149986743927)]]
[[ (1502377755, '459F7A08D5D7', 2, 28, -75, -77.10714721679688, 0.994031548500061)
  (1502377755, '6392B6C5FB53', 2, 30, -66, -68.86666107177734, 1.5024887323379517)
  (1502377755, '2D1032CDC2EC', 3, 30, -61, -62.166664123535156, 0.6989324688911438)
  (1502377755, '94DC6692F976', 3, 30, -58, -58.10000228881836, 0.3051295876502991)]]
[[ (1502377815, '459F7A08D5D7', 2, 28, -75, -76.96428680419922, 1.201299786567688)
  (1502377815, '6392B6C5FB53', 2, 29, -67, -68.6551742553711, 1.3168104887008667)
  (1502377815, '2D1032CDC2EC', 3, 30, -61, -62.86666488647461, 0.8995546698570251)
  (1502377815, '94DC6692F976', 3, 30, -57, -57.9666633605957, 0.5560534596443176)]]
[[ (1502377875, '2D1032CDC2EC', 3, 30, -63, -63.76666259765625, 0.6260628700256348)
  (1502377875, 'F9632B2DFC58', 2, 28, -70, -72.14285278320312, 1.4835975170135498)
  (1502377875, '94DC6692F976', 3, 30, -57, -57.9666633605957, 0.614946722984314)
  (1502377875, '5D358CDAED0D', 2, 30, -57, -58.13333511352539, 0.507416307926178)]]
