DAD655CD510A
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377163, 'F9632B2DFC58', 2, 24, -71, -73.20833587646484, 0.8836275935173035)
  (1502377163, '94DC6692F976', 3, 27, -57, -63.92593765258789, 5.363168239593506)
  (1502377163, '5D358CDAED0D', 2, 30, -51, -51.333335876464844, 0.5466718673706055)
  (1502377163, '459F7A08D5D7', 2, 28, -66, -67.46428680419922, 1.9528141021728516)]]
[[ (1502377223, '94DC6692F976', 3, 29, -61, -64.13793182373047, 2.3410043716430664)
  (1502377223, 'F9632B2DFC58', 2, 28, -69, -72.17858123779297, 1.3348222970962524)
  (1502377223, '5D358CDAED0D', 2, 30, -51, -51.5333366394043, 0.5074166059494019)
  (1502377223, '459F7A08D5D7', 2, 29, -67, -68.68965911865234, 0.8495150208473206)]]
[[ (1502377283, '94DC6692F976', 3, 29, -61, -62.999996185302734, 2.0000007152557373)
  (1502377283, 'F9632B2DFC58', 2, 25, -70, -73.36000061035156, 2.998332977294922)
  (1502377283, '5D358CDAED0D', 2, 30, -50, -50.99999237060547, 0.6432665586471558)
  (1502377283, '459F7A08D5D7', 2, 28, -66, -68.78571319580078, 3.0714595317840576)]]
[[ (1502377343, '94DC6692F976', 3, 29, -60, -62.20689392089844, 1.760262131690979)
  (1502377343, 'F9632B2DFC58', 2, 27, -72, -74.1851806640625, 1.9421833753585815)
  (1502377343, '5D358CDAED0D', 2, 30, -50, -51.000003814697266, 1.1141741275787354)
  (1502377343, '459F7A08D5D7', 2, 30, -64, -65.86666870117188, 2.2242138385772705)]]
[[ (1502377403, '94DC6692F976', 3, 30, -60, -62.46665954589844, 1.5916436910629272)
  (1502377403, '5D358CDAED0D', 2, 30, -50, -51.0333366394043, 0.4138413965702057)
  (1502377403, '459F7A08D5D7', 2, 29, -65, -67.06896209716797, 2.999177932739258)
  (1502377403, '9A34ECDEA99E', 2, 30, -66, -66.50000762939453, 0.8200055360794067)]]
[[ (1502377463, '94DC6692F976', 3, 30, -59, -62.633331298828125, 2.4138009548187256)
  (1502377463, 'F9632B2DFC58', 2, 28, -73, -74.71428680419922, 2.015810251235962)
  (1502377463, '5D358CDAED0D', 2, 30, -50, -50.63333511352539, 0.4901331067085266)
  (1502377463, '459F7A08D5D7', 2, 30, -65, -66.06668090820312, 0.36514803767204285)]]
[[ (1502377523, '94DC6692F976', 3, 28, -62, -67.10713958740234, 3.72518253326416)
  (1502377523, 'F9632B2DFC58', 2, 26, -70, -74.23077392578125, 2.534682273864746)
  (1502377523, '5D358CDAED0D', 2, 30, -49, -50.36666488647461, 0.9994260668754578)
  (1502377523, '459F7A08D5D7', 2, 28, -60, -66.75000762939453, 3.728022575378418)]]
[[ (1502377583, '94DC6692F976', 3, 28, -63, -67.78572082519531, 4.201918125152588)
  (1502377583, 'F9632B2DFC58', 2, 28, -73, -73.96428680419922, 0.9222375154495239)
  (1502377583, '5D358CDAED0D', 2, 29, -51, -52.0, 0.26726141571998596)
  (1502377583, '459F7A08D5D7', 2, 30, -64, -64.43334197998047, 1.8323407173156738)]]
[[ (1502377643, '94DC6692F976', 3, 28, -57, -62.10714340209961, 2.6713733673095703)
  (1502377643, 'F9632B2DFC58', 2, 29, -71, -72.82759094238281, 1.5599663257598877)
  (1502377643, '5D358CDAED0D', 2, 29, -50, -51.482757568359375, 0.7377895712852478)
  (1502377643, '459F7A08D5D7', 2, 30, -61, -63.966651916503906, 2.722615957260132)]]
