F9632B2DFC58
time,hwid,type,samples,maxRSSI,mean,stddev
[[ (1502377185, '6392B6C5FB53', 2, 29, -72, -74.37931060791016, 1.5678417682647705)
  (1502377185, '2D1032CDC2EC', 3, 28, -67, -71.39285278320312, 2.9980180263519287)
  (1502377185, '94DC6692F976', 3, 30, -65, -66.66666412353516, 0.9589289426803589)
  (1502377185, '5D358CDAED0D', 2, 30, -69, -71.69998931884766, 1.2359522581100464)]]
[[ (1502377245, '6392B6C5FB53', 2, 30, -69, -72.80000305175781, 2.6704001426696777)
  (1502377245, '2D1032CDC2EC', 3, 29, -69, -75.37931823730469, 3.7168872356414795)
  (1502377245, '94DC6692F976', 3, 29, -64, -67.13792419433594, 1.2456830739974976)
  (1502377245, '5D358CDAED0D', 2, 27, -69, -71.88888549804688, 1.6486207246780396)]]
[[ (1502377605, '6392B6C5FB53', 2, 30, -69, -71.4000015258789, 1.1325891017913818)
  (1502377605, '2D1032CDC2EC', 3, 28, -72, -76.39285278320312, 2.314835548400879)
  (1502377605, '94DC6692F976', 3, 29, -67, -69.2758560180664, 1.192134141921997)
  (1502377605, '459F7A08D5D7', 2, 20, -81, -88.05000305175781, 2.7620551586151123)]]
[[ (1502377665, '6392B6C5FB53', 2, 25, -67, -68.95999145507812, 1.4571620225906372)
  (1502377665, '2D1032CDC2EC', 3, 25, -69, -71.0, 1.5811384916305542)
  (1502377665, '94DC6692F976', 3, 25, -66, -67.76000213623047, 1.562048077583313)
  (1502377665, '5D358CDAED0D', 2, 25, -67, -68.39999389648438, 1.0000028610229492)]]
[[(1502377725, '459F7A08D5D7', 2, 20, -78, -80.75, 1.1180340051651)
  (1502377725, '6392B6C5FB53', 2, 25, -66, -66.87999725341797, 0.5999993085861206)
  (1502377725, '2D1032CDC2EC', 3, 22, -69, -72.04544830322266, 1.8120595216751099)
  (1502377725, '94DC6692F976', 3, 24, -66, -67.83332061767578, 0.868109405040741)]]
[[(1502377725, '459F7A08D5D7', 2, 20, -78, -80.75, 1.1180340051651)
  (1502377725, '6392B6C5FB53', 2, 25, -66, -66.87999725341797, 0.5999993085861206)
  (1502377725, '2D1032CDC2EC', 3, 22, -69, -72.04544830322266, 1.8120595216751099)
  (1502377725, '94DC6692F976', 3, 24, -66, -67.83332061767578, 0.868109405040741)]]
[[(1502377785, '6392B6C5FB53', 2, 12, -67, -67.25, 0.4522676467895508)
  (1502377785, '2D1032CDC2EC', 3, 7, -71, -72.71428680419922, 1.1126971244812012)
  (1502377785, '5D358CDAED0D', 2, 10, -68, -68.30000305175781, 0.48304569721221924)
  (1502377785, 'DAD655CD510A', 2, 9, -73, -75.55555725097656, 1.8782384395599365)]]
[[ (1502377845, '94DC6692F976', 3, 19, -64, -66.00000762939453, 0.6666684150695801)
  (1502377845, '5D358CDAED0D', 2, 18, -63, -68.11109924316406, 1.450715184211731)
  (1502377845, 'DAD655CD510A', 2, 17, -72, -74.05883026123047, 1.2485276460647583)
  (1502377845, '9A34ECDEA99E', 2, 19, -69, -70.9473648071289, 1.268142580986023)]]
[[ (1502377905, '459F7A08D5D7', 2, 19, -79, -82.84210968017578, 1.803181767463684)
  (1502377905, 'DAD655CD510A', 2, 25, -73, -75.19999694824219, 1.0801244974136353)
  (1502377905, '2D1032CDC2EC', 3, 30, -70, -72.66665649414062, 1.7287310361862183)
  (1502377905, '94DC6692F976', 3, 29, -66, -66.20690155029297, 0.41224992275238037)]]
[[ (1502377905, '459F7A08D5D7', 2, 19, -79, -82.84210968017578, 1.803181767463684)
  (1502377905, 'DAD655CD510A', 2, 25, -73, -75.19999694824219, 1.0801244974136353)
  (1502377905, '2D1032CDC2EC', 3, 30, -70, -72.66665649414062, 1.7287310361862183)
  (1502377905, '94DC6692F976', 3, 29, -66, -66.20690155029297, 0.41224992275238037)]]
[[ (1502377905, '459F7A08D5D7', 2, 19, -79, -82.84210968017578, 1.803181767463684)
  (1502377905, 'DAD655CD510A', 2, 25, -73, -75.19999694824219, 1.0801244974136353)
  (1502377905, '2D1032CDC2EC', 3, 30, -70, -72.66665649414062, 1.7287310361862183)
  (1502377905, '94DC6692F976', 3, 29, -66, -66.20690155029297, 0.41224992275238037)]]
[[ (1502377965, '459F7A08D5D7', 2, 18, -80, -81.83334350585938, 1.54348886013031)
  (1502377965, 'DAD655CD510A', 2, 20, -73, -77.10000610351562, 2.5110278129577637)
  (1502377965, '6392B6C5FB53', 2, 30, -63, -66.76667785644531, 1.3047242164611816)
  (1502377965, '2D1032CDC2EC', 3, 27, -69, -71.07406616210938, 1.9200530052185059)]]
[[ (1502378025, '459F7A08D5D7', 2, 14, -79, -82.07142639160156, 1.7743602991104126)
  (1502378025, 'DAD655CD510A', 2, 19, -73, -77.68421173095703, 2.1615993976593018)
  (1502378025, '9A34ECDEA99E', 2, 27, -72, -74.77777862548828, 1.3397276401519775)
  (1502378025, '6392B6C5FB53', 2, 28, -66, -67.35714721679688, 0.7310203313827515)]]
[[ (1502378085, 'DAD655CD510A', 2, 16, -76, -79.18749237060547, 2.903301477432251)
  (1502378085, '9A34ECDEA99E', 2, 24, -65, -72.87499237060547, 2.6095540523529053)
  (1502378085, '6392B6C5FB53', 2, 30, -67, -68.69998931884766, 1.3933358192443848)
  (1502378085, '2D1032CDC2EC', 3, 27, -70, -71.25926971435547, 0.9443185925483704)]]
[[ (1502378325, '459F7A08D5D7', 2, 19, -81, -82.9473648071289, 1.2235511541366577)
  (1502378325, '9A34ECDEA99E', 2, 30, -70, -71.86666107177734, 0.9371022582054138)
  (1502378325, '6392B6C5FB53', 2, 28, -68, -70.89286041259766, 1.7917340993881226)
  (1502378325, '2D1032CDC2EC', 3, 1, -128, -71.0, 0.0)]]
[[ (1502378385, '459F7A08D5D7', 2, 13, -81, -82.84616088867188, 1.28102707862854)
  (1502378385, 'DAD655CD510A', 2, 16, -76, -78.375, 2.3057897090911865)
  (1502378385, '6392B6C5FB53', 2, 23, -69, -70.0, 1.2792004346847534)
  (1502378385, '5D358CDAED0D', 2, 22, -67, -68.45453643798828, 0.5958000421524048)]]
[[ (1502378445, 'DAD655CD510A', 2, 17, -73, -75.70587921142578, 1.9926344156265259)
  (1502378445, '9A34ECDEA99E', 2, 19, -71, -72.57894897460938, 1.2163597345352173)
  (1502378445, '6392B6C5FB53', 2, 18, -69, -70.38888549804688, 1.0921618938446045)
  (1502378445, '5D358CDAED0D', 2, 18, -68, -69.22222137451172, 1.1659660339355469)]]
[[ (1502378505, '459F7A08D5D7', 2, 15, -80, -83.86666870117188, 2.03071665763855)
  (1502378505, 'DAD655CD510A', 2, 19, -75, -75.94735717773438, 0.8481107950210571)
  (1502378505, '9A34ECDEA99E', 2, 20, -71, -72.9000015258789, 1.2937097549438477)
  (1502378505, '6392B6C5FB53', 2, 19, -69, -71.10525512695312, 0.8752597570419312)]]
[[ (1502378565, '459F7A08D5D7', 2, 11, -79, -82.81819152832031, 2.9263644218444824)
  (1502378565, '9A34ECDEA99E', 2, 11, -69, -71.90908813476562, 2.3432700634002686)
